Question,Answer
"Just after this U.S. president’s inauguration, he signed a prohibition against torture and an order saying that the Guantanamo Bay detention center would close within a year, though it stayed open. This president later signed the Dodd–Frank Act, creating the Consumer Financial Protection Bureau. This president’s American Recovery and Reinvestment Act was passed in response to the Great Recession. This president approved the raid that killed Osama bin Laden. Name this president who defeated John McCain and Mitt Romney and who was America’s first Black president.",Barack (Hussein) Obama (II)
"Chapman–Enskog theory describes this state of matter’s diffusion coeﬀicient. A theoretical “perfect” material in this state of matter has a heat capacity that does not depend on temperature. One of the phase changes away from this state of matter is ionization. Eleven elements are in this state of matter at standard temperature and pressure. This state of matter is addressed by Gay–Lussac’s law, Charles’s law, and Boyle’s law. The Van der Waals equation allows for intermolecular forces and molecular volume in this state of matter. Name this state of matter that substances enter when they are boiled.",gases or gaseous state or gaseous phase
"The narrator of this novel opens one chapter by remembering the saying “When children are doing nothing, they are doing mischief.” That chapter introduces Lord Fellamar, who conspires with Lady Bellaston against a woman who loves this novel’s title character. However, that woman’s father does not want her to marry the title character because his biological parents are not known. In this novel, Sophia eventually does marry the title character once it becomes known that his mother is Bridget Allworthy. Name this 18th-century English novel about the rival of William Blifil, written by Henry Fielding.","The History of Tom Jones, a Foundling"
"This country had a ruler who became its king when he was born in 1886. People in this country eventually called that king “the African” because he spent money on the Rif [reef] War. After that king fled this country in 1931, its monarchy was not restored until 1975. The post-World War II leader of this country was sometimes called the “last surviving fascist dictator”, belonged to the Falange [fuh-LAHN-hay] Party, and was named Francisco Franco. During this country’s civil war, Franco received help from Adolf Hitler and Benito Mussolini. Name this modern European country located where Isabella I of Castile [ka-STEEL] and Ferdinand II of Aragon once ruled.",(Kingdom of) Spain [or (Reino de) España]
"One of the major competitions in this sport is The Eddie, and three late season competitions are combined to determine the Vans Triple Crown. The only people ever to win Olympic gold medals in this sport were Italo Ferreira and Carissa Moore. Some of the basic moves in this sport are the bottom turn, carve, and cutback, while experienced participants are able to pull off a tube ride. One of the most famous places for this sport is the Banzai Pipeline, which is on the north shore of Oahu in Hawaii. Name this sport in which people on a board ride waves in the water.",surfing
"The comic strip Li’l Abner inspired this state’s Dogpatch USA theme park, which was located near Mystic Caverns and Crystal Dome. This state’s Cosmic Cavern is near the town of Berryville. The river that shares its name with this state enters this state from Oklahoma before feeding the Mississippi River. This state is not Massachusetts but contains the Boston Mountains, which are the southern part of the Ozark Mountains. Name this state that contains the towns Fayetteville, Fort Smith, and Hot Springs [pause] and whose capital is Little Rock.",Arkansas
"One character in this novel has the real name “Theodore”, but he does not like it because of the nickname “Dora”. In this novel, that character’s grandfather says that they can go to London while John Brooke takes care of their business at home. That offer is made in this novel by Mr. Laurence after his grandson’s marriage proposal is rejected. Later in this novel, that woman marries Professor Bhaer, and her older sister marries John Brooke. While in Europe, the youngest sister in this novel sees Mr. Laurence and his grandson, Laurie. Name this novel about Amy, Beth, Jo, and Meg March that was written by Louisa May Alcott.",Little Women
"The ANCA [AYN-kuh] test of this substance is used for people with autoimmune conditions. The Widal [wee-dahl] test is based on whether this substance agglutinates [uh-GLOO-tin-“eights”] when it is combined with other substances. Another test of this substance measures the level of alpha-fetoprotein. Other agglutination tests of this substance look for particular antigens [AN-tih-jenz] in tests designed by Karl Landsteiner. This substance contains thrombocytes [THRAHM-boh-“sites”], which are commonly called platelets and are useful in clotting. This substance also contains white leukocytes [LOO-koh-“sites”] and red erythrocytes [eh-RITH-roh-“cites”]. Name this substance found in vertebrate circulatory systems.",blood
"During a premiere performance of one of this composer’s works in London, the audience laughed during the bassoon part of Symphonies of Wind Instruments. This student of Nikolai Rimsky–Korsakov used the octatonic scale in several pieces, including Symphony of Psalms. This composer’s fame is based to some extent on ballets he wrote for Sergei Diaghilev [dee-AH-guh-leff], including one in which a girl dances herself to death. Another ballet by this composer depicts three puppets whose jealousies lead them to murder. Name this Russian composer of Petrushka and The Rite of Spring.",Igor (Fyodorovich) Stravinsky
"The set of fractions named for this theorem can all be written in the form “p squared minus q squared, all over pq”. This theorem is used repeatedly when constructing a spiral of Theodorus. One proof of this theorem is done by setting the integral of x dx equal to the integral of y dy. Another proof of this theorem uses an altitude that breaks a larger triangle into two smaller similar triangles. This theorem is a special case of the law of cosines. This theorem can be used to derive the distance formula. Identify this theorem that relates the lengths of the legs to the length of the hypotenuse of a right triangle.",Pythagorean theorem [accept Pythagoras’ theorem]
