Question,Answer
"This man removed Peter Strzok (struck) from an investigation after text messages between Strzok and Lisa Page were leaked. Don McGahn threatened to resign rather than follow an alleged order to (*) fire this man. This man became the director of the FBI one week before the September 11 attacks. William Barr was accused of issuing a misleading summary weeks before a document helmed by this man was released in 2019. For 10 points, name this former director of the FBI who investigated Russian election interference in a namesake 2019 report.",Robert Mueller (MULL-er) [Robert Swan Mueller III]
"When variables have this property, the formulas for Boolean decomposition and orthogonal linear interpolation are the same. Two events with a covariance of zero have this property, as do the outcomes of Bernoulli trials. A collection of variables with the mutual form of this property also has its pairwise form. If the probability of A times (*) the probability of B equals the probability of A and B, then events A and B have this property. Dice rolls are events with, for 10 points, what property in which one outcome does not affect subsequent outcomes?",independence [or independent events; or mutual independence; or pairwise independence]
"A secessionist movement named for this mountain range uses the “Doug flag” and grew out of the 1940s “State of Jefferson” movement. Mount Adams is the highest point of this mountain range's Gifford Pinchot (pin-CHOH) National Forest. The only mountain in the continental U.S. on the Decade Volcanoes list is in this range that is home to (*) Crater Lake. The Columbia River Gorge cuts into this range, which contains climbing sites such as Mount Hood. For 10 points, name this range of the Pacific Northwest that includes Mount Rainier and Mount Saint Helens.",Cascade Range [or Cascades]
"This was the primary instrument played by the lead artist on the album Moanin' who co- founded the Jazz Messengers. Art Blakey and Gene Krupa played this instrument, the latter collaborating with clarinetist Benny Goodman on “Sing, Sing, Sing.” Krupa also appeared on “Bernie's Tune,” which has a six-minute solo by another player of this instrument, (*) Buddy Rich. Performers of this instrument often choose between a traditional or a matched grip. For 10 points, name this jazz instrument which has bass and snare varieties.",drums [or drum kit; prompt on percussion]
"The smallest scales of this phenomenon are the Kolmogorov (kul-MAH-GOR-off) microscales, which facilitate energy cascades. Time-averaged equations such as the Reynolds-averaged Navier– Stokes (NAV-yay-stoaks) equations are used to model this phenomenon in computational fluid dynamics. This form of (*) fluid flow occurs at very high Reynolds numbers. Eddies and vortices are produced in this form of fluid flow, which is contrasted with laminar flow. For 10 points, name this chaotic form of fluid flow that can cause bumpy airplane rides.",turbulence [or turbulent flow]
"A collection by an author of this ethnicity features a character who is repeatedly told about his father seeing Jimi Hendrix at Woodstock. That man of this ethnicity wrote a novel in which a blues trio meets Robert Johnson, and adapted for film his collection titled for the Lone Ranger. An author of this ethnicity wrote of the death of his (*) sister in a novel in which youth basketball star Junior is born with hydrocephalus. For 10 points, name the ethnicity of Sherman Alexie, who wrote about this group in an Absolutely True Diary.",American Indian [or Native American; or Spokane; or Coeur d'Alene; prompt on Indian]
"The Lambing Flat riots targeted people originally from this present-day country at Stoney Creek and other gold fields. Ned Kelly's first run-in with the law was being accused of robbery by a pig farmer originally from this country. Many people fled to Australia from this country during the (*) Punti-Hakka clan wars. A city in this country is the namesake of a practice of forcibly retaining sailors on ships. An 1882 “exclusion act” curtailed immigration to the U.S. from, for 10 points, what country that provided many workers on the Transcontinental Railroad?",China [People's Republic of China; or Zhongguo; or PRC; or Zhonghua Renmin Gongheguo]
"One of these two men claimed to have seen six extra birds in an augury contest, after which the other member of this pair humiliatingly jumped over a low wall constructed by the other. These two men kill King Numitor's (NOO-mit-or's) usurper, Amulius (am-YOO-lee-us), who earlier sentenced them to death. A dispute between these two men near the (*) Palatine (PAL-uh-tyne) and Aventine (AV-en-tyne) Hills leads to one of them dying. The Vestal Virgin Rhea Silvia (RAY-uh SIL-vee- uh) gave birth to these two men, who were set afloat on the Tiber (TAI-bur) River and suckled by a wolf. For 10 points, name these twin founders of Rome.","Romulus and Remus [answers may be given in either order, but do not accept or prompt if only one answer is given]"
"This singer starred in a music video that also featured Andrea Denver and Sean O'Pry and was filmed at Oheka Castle as part of a collaboration with American Express. In 2021, this performer announced plans to re-record earlier material to regain publishing rights, starting with Fearless, in a series labeled her (*) “version.” This singer of “Wildest Dreams” sings about Joe Jonas in her song “Forever and Always” and Jake Gyllenhaal in “All Too Well.” For 10 points, name this singer- songwriter of the songs “Willow,” “Cardigan,” and “Bad Blood.”",Taylor Swift [Taylor Alison Swift; or Taytay]
"Within two years in this city, unarmed Guinean immigrant Amadou Diallo (AH-muh-doo dee- AH-loh) was killed and Haitian-born Abner Louima (loo-EE-muh) was assaulted by police. Matias Reyes ultimately confessed to a crime in this city for which five Black boys were originally accused in the assault of a (*) jogger, prompting a full-page ad advocating the death penalty placed by Donald Trump. The practice of stop-and-frisk increased in this city under a police commissioner appointed by mayor Rudy Giuliani. For 10 points, name this city that was the site of the Central Park Five case.",New York City [or NYC]
