Question,Answer
"This element is used to lower the ignition temperature of gunpowder, and traditional gunpowder combined this element with a nitrate and charcoal. This element is second to carbon for the most allotropes, one of which is the omega type used in the vulcanization of rubber. An acid with this element is usually used in lead-acid batteries. This element is the central element in mercaptans [mur-“captains”], which are also called thiols [THY-awlz] and are responsible for skunk spray. Name this element that is below oxygen on the periodic table, many of whose compounds are smelly.",sulfur [accept S]
"A writer from this country wrote a poem about a pill “in which has been condensed, chemically pure, the order of the world.” The writer of that poem, “Valium 10”, described an uprising in this country in the novel The Book of Lamentations. Another writer from this country wrote a novel in which each chapter is named for a month and begins with a recipe. That novel, in which Tita’s [TEE-tuh’z] mother prevents her from marrying, is Like Water for Chocolate. A U.S. novelist whose family is from this country wrote The House on Mango Street about Esperanza Cordero. Name this country home to Rosario Castellanos [kahss-tay-YAH-nohss], Laura Esquivel [es-kee-VELL], and the grandparents of Sandra Cisneros [sis-NEAR-ose].",Mexico [or United Mexican States or Estados Unidos Mexicanos; do not accept or prompt “Estados Unidos”]
"In 2021, a leader of this company was sentenced to 30 months in prison for bribery, embezzlement, and concealment of criminal proceeds. In 2022, this company apologized for being insensitive to women’s safety after they showed a woman running at night as part of their Night Owls campaign. In 2012, Apple was awarded 1 billion dollars in an intellectual property lawsuit against this company. Unlike Apple, this company put rotating bezels on many of its smartwatches. This company is the global leader in smartphone manufacturing. Name this company that makes many devices with the brand name Galaxy.",Samsung (Electronics Company)
"Staverman’s reflection coeﬀicient is multiplied by a difference of two of these values in the Starling equation. This quantity was traditionally measured using an inverted funnel in a device invented by Wilhelm Pfeffer [VIL-helm FEFF-ur]. This quantity is demonstrated using the difference in fluid heights in a dialysis [“die”-AL-uh-siss] tube. This quantity is based on preventing fluid movement across a semi-permeable membrane. This quantity is calculated by multiplying molar concentration of solute times the ideal gas constant times absolute temperature times the van ’t Hoff [vahnt hof] index, and this quantity is often represented by the Greek letter pi. Name this colligative [kuh-LIG-uh-tiv] property.",osmotic pressure [accept oncotic pressure; prompt on pressure]
"Ancient mathematicians determined that the volume of the intersection of two of these solids equals 16/3 the cube of one of their common measurements. That intersection forms a Steinmetz solid. Viviani’s curve, which looks like a figure eight, is formed from the combination of this solid with a sphere. Archimedes [ar-kih-MEE-deez] determined that an inscribed sphere takes up 2/3 of the volume of this shape. Name this shape whose volume is pi times r squared times h, and which consists of two parallel congruent circles and the region between them.",cylinders
"One copy of this person’s Letter to Benedetto Castelli was sent to the Roman Inquisition. Eventually, this person lost the support of Pope Urban VIII [8] after the publication of this person’s Dialogue Concerning the Two Chief World Systems. When this person said he overstated his case, he was put under house arrest. 350 years after this person’s death, the Catholic Church determined that punishing him was a mistake. This person supported ideas of the Polish astronomer Copernicus. Name this supporter of heliocentrism [hee-lee-oh-SEN-trizm] who, according to legend, dropped two objects from the Leaning Tower of Pisa.",Galileo Galilei [accept either]
"One novel by this writer begins with Jimmie bleeding from the mouth because of a fight with people from Devil’s Row. This author ended that novel with the title character’s mother saying “I’ll forgive her.” In another novel by this author, the protagonist slides through a crowd after being asked “Where yeh hit, old boy?”. This author had the tattered man ask that question shortly before the protagonist is reunited with Jim Conklin. This writer set that novel during the American Civil War. Name this author of Maggie: A Girl of the Streets who wrote about Henry Fleming in The Red Badge of Courage.",Stephen Crane
"During the early to mid-20th century, political prisoners from what is now this country were sent to Boven–Digoel [boh-VEN dee-“GOAL”] concentration camp. Those prisoners included Mohammad Hatta, who became this country’s first vice president, and Sutan Sjahrir [soo-TAHN shah-RIR], who became its first prime minister. Shortly after an attempted coup by the 30 September Movement, this country transitioned into its New Order when President Suharto took power from President Sukarno. This country has more recently been led by Joko Widodo [wee-doh-doh]. In 2002, East Timor [TEE-mor] seceded from this country. Name this country that includes the world’s most populous island, Java—the location of its capital, Jakarta.",(Republic of) Indonesia
"An opera by this composer contains a duet whose title means “Now, Sir, Listen to a Word or Two.” That duet is sung by Jeník [YEN-ik] and Kecal [KET-zahl] in this composer’s opera about Jeník and Mařenka [mar-ZHEN-kah]. This composer also wrote a set of six symphonic poems whose best-known section has rising alternating eighth notes and quarter notes peaking at dotted quarter notes. This composer ended that set with a piece about Blaník [blah-NEEK], a real mountain that contains a legendary army led by Saint Wenceslas [VEN-suss-lahss]. Name this Czech composer of The Bartered Bride whose cycle Má vlast contains The Moldau.",Bedřich Smetana [BED-rikh SMEH-tah-nah]
"In one novel by this author, Susan says “I think sometimes of Percival who loved me. He rode and fell in India. I think sometimes of Rhoda.” This author began that novel with short statements by the characters before moving to lengthy soliloquies [soh-LILL-oh-kweez] by Bernard, Susan, Rhoda, Neville, Jinny, and Louis. Another novel by this author includes the perspective of Mrs. McNab, who helps restore a house on the Isle of Skye. The last section of that novel is about a trip by Cam and James with their father, Mr. Ramsay, and the novel is one of several by this author that uses the stream-of-consciousness technique. Name this British author of The Waves and To the Lighthouse.",(Adeline) Virginia (Stephen) Woolf [accept either underlined name]
