Question,Answer
"Patterns on creations in this medium inspired Henri Matisse's cut-outs and were made by the Kuba people. A kufi typically accompanies objects made in this material that were inspired by the Dutch ""Angelina"" design and are called Kitenge in East Africa. Queens of Dagbon valued this material's use in the design of (*) academic stoles, which were first made by the Akan people. Kente (KEN-tay) is a type of this material, which is used to make items called dashiki (dah-SHEE-kee). For 10 points, name this material used for boubous (boo-booz) and other West African garments.",cloth [or clothing; or fabric; or textiles; or tapestry]
"This president agreed to a treaty on the far northwest restricting Russian claims to north of the 54th parallel. This man was the target of a kidnapping plot during a slave rebellion that was discovered when heavy rains made bridges impassable. This governor of Virginia during Gabriel (*) Prosser's rebellion stated during a State of the Union that the Americans ""are henceforth not to be considered as subject for future colonization by any European Powers."" For 10 points, name this fifth U.S. president who promulgated a namesake doctrine.",James Monroe
"The Long Range Mountains extend along part of this province and include Gros Morne (grow MORN) National Park on the Great Northern Peninsula. The Strait of Belle Isle separates two parts of this province. This province's town of Port-aux-Basque (port oh bosk) was damaged by Hurricane Fiona. (*) Signal Hill overlooks this province's capital, which developed in part due to Grand Banks fisheries. This province's L'Anse Aux Meadows (LAHNS oh MED-oh) was settled by the Vikings. For 10 points, name this island-and-mainland province governed from St. John's.",Newfoundland and Labrador
"Earwax plugs from some members of this ungulate (UN-gyuh-let) order can be used to analyze the animal's age and also measure stress level changes. A species belonging to this order of animals uses a cooperative hunting strategy called bubble-netting. A bile duct secretion from a species in this order was used in perfume production and is called (*) ambergris (AMB-er-grees). These animals are separated into toothed and baleen groups. For 10 points, name this order of marine mammals including the largest animal to ever exist on Earth.","whales [or Cetaceans; do not accept or prompt on ""dolphins"" or ""porpoises""]"
"This general attempted to rally colonial allies in his ""Brazzaville Manifesto."" This man's withdrawal of his delegation led to the Luxembourg Compromise resolving the Empty Chair Crisis. This man declared, ""They shoot like pigs"" after escaping an assassination attempt. At the (*) Montreal Expo 67, this president declared ""Vive le Quebec libre!"" (VEE-veh lay kay-BEK LEE- buh). This man was forced to flee Paris during the 1968 student protests. For 10 points, name this president of France who led Free French forces during World War II.",Charles de Gaulle
"In order to increase consumer spending, a negative version of this quantity placed on excess reserves has been implemented in Denmark and Sweden. The Fisher equation relates two versions of this quantity, which is adjustable, rather than fixed, in ARM-style (""A-R-M style"") (*) mortgages. In a rule of thumb, 72 is divided by this quantity to find an investment's doubling period. Whether this quantity is only calculated on the principal differentiates its simple and compound forms. For 10 points, name this rate paid to borrow money from a lender.",interest [or interest rates]
"A religious leader of this ethnicity founded Rod of Iron Ministries, whose name alludes to the AR-15 rifles used in their services. Gut (""goot"") rituals are performed by shamans of this ethnicity called mu. This is the ethnicity of most attendees of the world's largest megachurch. The theological concept of indemnity is emphasized in the (*) Divine Principle of a new religious movement founded by a man of this ethnicity, whose ""Blessing Ceremonies"" feature mass weddings. For 10 points, name this ethnicity of Unification Church founder Sun Myung Moon.","Koreans [or Hanguk-in; or Hancha; or Joseon-in; or South Koreans; or North Koreans; prompt on Asians] [The first sentence refers to Sean Moon, son of Sun Myung Moon; the third sentence refers to the Yoido Full Gospel Church in Seoul.]"
"In this novel, a character who attends a concert by George Shearing names a stool ""God's empty chair."" While working as a night watchman at a shipyard, a character in this novel barges into his boss' office with Remi Boncoeur (REM-ee bon-KOR). This novel, whose first draft was recorded on sheets of paper (*) taped into a ""scroll,"" centers on a character who meets Old Bull Lee and Carlo Marx on a trip with a character who later abandons him in Mexico City, Dean Moriarty. Sal Paradise is the protagonist of, for 10 points, what Beat novel by Jack Kerouac?",On the Road
"At absolute zero, particles named for this man follow a step-function distribution which cuts off when the energy is greater than the chemical potential. Particles named after this scientist exert degeneracy pressure in white dwarfs. Particles named for this man have half-integer spin and obey the (*) Pauli exclusion principle. This man’s namesake paradox asks why there aren’t more aliens. With Woods and Szilard (zil-ARD), this man worked on Chicago Pile-1. For 10 points, name this Italian-American scientist, who achieved the first artificial nuclear reaction in 1944?",Enrico Fermi [or fermions]
"A poetry collection by this author notes how he dedicated his poems to Cornelius which were ""just polished off with dry pumice."" In a two-line poem, this author wrote, ""I feel it happening and I am tortured."" This author, who threatened Aurelius and Furius in his (*) 16th poem of a collection, stated ""I hate and I love"" in a poem in which he mourns a woman's sparrow. The lines ""Hail and Farewell"" appear in a poem addressed to his dead brother. ""Ave Atque Vale"" (AH-way AHT-kway WAH-lay) was written by, for 10 points, what Roman poet who wrote love poems to Lesbia?",Catullus [Gaius Valerius Catullus]
