Question,Answer
"The title character of a novel by this author, who was explored in detail in an earlier short story titled for being “On Bond Street,” dislikes the religious teacher Doris Kilman. In another novel by this author, Andrew is killed during World War I and Prue dies during childbirth in the experimental (*) “Time Passes” section. In the final section of that novel by this author, Lily Briscoe completes her painting and James gets to visit the title structure. For 10 points, name this author of Mrs. Dalloway and To the Lighthouse.",Virginia Woolf [or Adeline Virginia Stephen]
"A letter to this philosopher was the first to ask if a blind person experienced at touching objects could recognize the objects upon being granted sight. This recipient of the Molyneux (MOHL-in-oo) Problem wrote that properties such as color and texture are “secondary” in a book that denies the existence of (*) “innate ideas.” This author of An Essay Concerning Human Understanding endorsed slavery in his constitution for the Province of Carolina, despite his 1689 defense of natural rights. For 10 points, name this author of the Second Treatise on Government.",John Locke
"This politician argued for the winning side in the Supreme Court case Van Orden v. Perry, which permitted the display of the Ten Commandments on state property. This governor was criticized over supervision of ERCOT after his state endured a power (*) grid failure in February 2021 following ice storms. This politician was interrupted by his 2022 Democratic challenger, Beto O'Rourke, during a press conference about the Robb Elementary School shooting in Uvalde (yoo-VAL- dee). For 10 points, name this current governor of Texas.",Greg Abbott [Gregory Wayne Abbott]
"A monarch from this city initiated a process of “gathering lands” under its rule using high- interest loans and thus became known as “Kalitá” (KAH-lit-AH) or “moneybags.” A “Grand Prince” from this city reclaimed autonomy from the Tatars at the Great Stand on the (*) Ugra River. That prince of this city married the former Byzantine princess Zoe Palaiologina (PAIL-ee-oh- LOWG-ee-nah) and promoted the idea of this city as “the third Rome.” A form of the word “Caesar” began to be used in 1547 by the grand princes of this city. For 10 points, name this city where Ivan IV (ee-VAN the fourth) proclaimed himself “tsar.”",Moscow [or Grand Duchy of Moscow; do not accept or prompt on “Muscovy”]
"After this player was reportedly “blown away” by the Clippers' free agent pitch, that team signed GM Doc Rivers's son Austin instead. This player tweeted that he “can't win a championship with those cats” in the third person, revealing that he used burner accounts. After winning the 2014 MVP, this player gave an emotional speech in which he told his (*) mother, “You the real MVP.” For 10 points, name this current Net and former Thunder player who joined the Golden State Warriors in 2001, where he won two finals MVPs.","Kevin Durant [Kevin Wayne Durant] 022-2023 IQBT Regular Season Set #1          Round 1      Page 2 © International Quiz Bowl Tournaments, LLC Terms for usage & distribution of these questions are found in the IQBT host licensing agreement"
"This lower of the two featured instruments in Mozart's E-flat sinfonia concertante (sin-FOH-nee- ah kahn-sir-TAHN-tay) is labeled “da braccio” (dah BRAH-choh) in the sixth Brandenburg Concerto. This instrument is usually tuned “C G D A,” unlike a similar instrument called “da gamba.” Parts for this instrument are typical “inner voices” in Classical (*) quartets and are in the alto clef. This instrument is the second most numerous in most orchestras, after another instrument also played on the shoulder. For 10 points, name this bowed instrument pitched between the larger cello and smaller violin.",viola [or viola da braccio; do not accept or prompt on “viola da gamba” or “viol”]
"Choctaw aid during this event is commemorated by the sculpture Kindred Spirits in Midleton. Charles Trevelyan's (trev-EL-yin's) staunch laissez-faire (LAY-zay FAIR) beliefs limited direct aid toward victims of this event. Protestant schools engaging in “Souperism” during this event caused friction with the local population. (*) Coffin ships transported people across the Atlantic away from this event, which pushed Robert Peele to repeal the Corn Laws. A disease known as “blight” led to, for 10 points, what event that depleted the population of a European island in the 1840s?",Irish Potato Famine [or Great Famine; or Great Hunger; or an Gorta Mór]
"In the Lyman series, this form of radiation is emitted when an electron jumps to a higher energy level in a hydrogen atom. The prediction that a black body would emit an unbounded amount of energy at this radiation's wavelength is known as its “catastrophe.” A type of spectroscopy (spek- TRAH-skuh-pee) measures absorption in both the (*) visible region and this region of the spectrum. Blacklights emit this form of radiation, which lies just above X-rays on the EM spectrum. For 10 points, name this harmful type of radiation from the sun that sunscreen protects against.",ultraviolet [or UV]
"The narrator of this book decries men who live like ants, claiming that a man need not “count more than his ten fingers, or in extreme cases... add his ten toes” while preaching “Simplicity, simplicity, simplicity!” This book claims that many people “lead lives of quiet (*) desperation.” The main character of this book splits his needs into “Food, Shelter, Clothing, and Fuel” in its opening chapter, “Economy,” while planning to practice a self-sustaining life. For 10 points, name this book about “Life in the Woods” near a pond, by Henry David Thoreau.","Walden [Walden: or, Life in the Woods]"
"TOP10 and DH10B are strains of this organism that are utilized in cloning experiments. The O157:H7 strain of this organism produces Shiga toxin and can cause hemolytic uremic (HEE-moh- lit-ik yoo-REE-mik) syndrome. The majority of urinary tract infections are due to a (*) pathogenic strain of this organism. This non-viral organism was used to study semi-conservative DNA replication by Meselson (MEE-zul-sun) and Stahl. The lac operon (LAK AH-puh-ron) was first characterized in this organism. For 10 points, name this Gram-negative, rod-shaped bacterium that can cause food poisoning.",E. coli [Escherichia coli]
