Question,Answer
"According to Aristotle, the use of these objects was started by Hermodike [hur-MAH-duh-kay] II, who was the wife of King Midas. The use of these objects spread when Persia conquered Lydia [LID-ee-uh]. The Saint-Gaudens [san gaw-dan] double eagle is a valuable example of one of these objects that was produced in the U.S. from 1907 to 1933. Current examples of these things in Europe depict Europe on the back and national symbols on the front. Ancient examples of these objects were often made of electrum, gold, or silver; and modern examples are generally made of zinc, copper, and nickel. Name these usually round objects that are used as money.",coins [prompt on money or currency]
"One character in this novel asks “What was the use of doing great things if I could have a better time telling her what I was going to do?”. Soon after that, the speaker in this novel describes his infatuation with a woman who promised to wait for him when they were at Camp Taylor, but who then married a wealthier man. Soon after that, this novel’s narrator describes the death of Myrtle Wilson when she runs in front of a car that she thought was being driven by Tom Buchanan. Name this novel that is set in West Egg on Long Island, is narrated by Nick Carraway, and was written by F. Scott Fitzgerald.",The Great Gatsby
"If the work done during an isothermal [“ICE-oh-thermal”] process is expressed without using pressure, the work is proportional to the log of a ratio of two values of this quantity. The heat capacity ratio is the ratio of heat capacity when pressure is constant divided by heat capacity when this quantity is constant. This quantity does not change in an isochoric [“ice”-oh-KOR-ik] process. Enthalpy can be defined as internal energy plus the product of pressure and this quantity. This quantity is multiplied by pressure in the ideal gas law. In three dimensions, density equals mass divided by this quantity. Name this quantity that can be measured in liters or cubic meters.",volume
"When the Sex Pistols lead singer Johnny Rotten went on this person’s TV show, this person called drummer Robert Williams a “nudnik”. One of this person’s sayings is “On your best day, you’re not as smart as I am on my worst day.” This person also wrote books titled Don’t Pee on My Leg and Tell Me It’s Raining and Keep It Simple, Stupid. This person and her daughter started the charity Her Honor Mentoring. This person was rejected when she tried to replace Joseph Wapner [WAHP-nur], but her show ended up having a longer run than his, lasting from 1996 to 2021. Name this person who adjudicated real-life small-claims disputes on her show.",Judge (Judith) “Judy” Sheindlin [accept either underlined name]
"Helen Stoner told this character that he can “see deeply into the manifold wickedness of the human heart” after hearing about him from Mrs. Farintosh. Helen’s sister had earlier said “It was the band! The speckled band!” in a story featuring this character. In another story, this person taps on the pavement in front of a pawnshop and helps Jabez Wilson after Wilson was encouraged to answer an unusual want ad by Vincent Spaulding. In that story, “The Red-Headed League”, it turns out that Spaulding was actually working for this person’s enemy, Professor Moriarty. Name this character who is described by Dr. John Watson in stories by Arthur Conan Doyle.",Sherlock Holmes [accept either] (The first story mentioned is “The Adventure of the Speckled Band”.)
"The voltage across an inductor equals the opposite of inductance times the derivative of this quantity with respect to time. In the Biot-Savart [bee-oh sah-var] law, this scalar quantity is multiplied by magnetic permeability and by a cross product of two vectors in the numerator of an integral to find magnetic field. In Ampère’s force law, two values of this quantity are multiplied together. The power dissipated by a circuit element equals this quantity times the electric potential difference. This quantity equals electric potential difference divided by resistance according to Ohm’s law. Name this quantity, equal to charge per unit time, that is measured in amperes.",(electric) current [prompt on I]
"Before this person became famous, he was beaten up in a Rock Hill, South Carolina Greyhound Bus station. In 1966, Stokely Carmichael replaced this person as the head of the Student Nonviolent Coordinating Committee. While representing the SNCC, this person gave a speech at the Civil Rights March on Washington, where he said “that there won’t be a cooling-off period.” This person led the first attempted march across the Edmund Pettus Bridge on a day which became known as Bloody Sunday, when he and his followers were beaten by police. A proposed voting rights act is named after this person. Name this congressman from Georgia who died in 2020.",John (Robert) Lewis
"Characters in this musical sing “We’re very upset; / We never had the love that every child oughta get.” At the end of this musical, the female lead reprises a song with the lyrics “There’s a time for us, someday a time for us.” The part she sings at the end of this musical is “Hold my hand and I’ll take you there, / Somehow, Someday, Somewhere.” In addition to “Gee, Oﬀicer Krupke”, this musical includes the song “America”, which is sung by Anita and several other Puerto Rican immigrants. Name this Leonard Bernstein musical about the rivalry between the Sharks and the Jets, two gangs in New York City.",West Side Story
"The person who developed this process described offering his son to the Swedish royal family in the book Dancing Naked in the Mind Field. This process takes about five minutes, during which the temperature changes from about 200 to 130 to 160 degrees Fahrenheit. The third step of this process uses annealed primers. The first step of this process causes nucleic acid denaturation by using the substance Taq, spelled “T-A-Q”. This method has made it easier to test for HIV and COVID. Name this method developed by Kary Mullis that makes it much easier to make many copies of DNA samples.",PCR [accept polymerase chain reaction]
"This city borders Tsuut’ina [tsoo-TIN-uh] Nation near this city’s Fish Creek Provincial Park. This city is at the confluence of the Elbow and Bow rivers, the latter of which contains an island containing Prince’s Island Park. This city’s Studio Bell National Music Center hosts the Canadian Music Hall of Fame. This city is about 80 miles east of Lake Louise and Banff National Park. There are still several structures remaining from when this city hosted the 1988 Winter Olympics. This city’s Saddledome hosts several events in its annual rodeo, which is called the Stampede. Name this city in Alberta that is more populous than Edmonton.","Calgary, Alberta"
