Question,Answer
This composer repeatedly used treble-clef 16th notes followed by dotted eighth notes alternating with pairs of bass-clef 16th notes in the first movement of Piano Sonata Number 30. That piece was written shortly after this composer’s Hammerklavier Piano Sonata. The final movement of this composer’s third symphony uses a theme he had used earlier in the ballet The Creatures of Prometheus. This composer originally dedicated that symphony to Napoleon but renamed it Eroica [eh-ROH-ih-kah]. Name this German composer who used the “short-short-short-long” motif to open his 5th symphony.,Ludwig van Beethoven
"A controversial version of Heisenberg’s uncertainty principle combines the uncertainty of this quantity with the uncertainty of time. In time-independent quantum mechanics, this quantity is equivalent to the Hamiltonian. Electric potential is measured in units of this quantity divided by units of charge. The first law of thermodynamics is based on the conservation of this quantity, and in thermodynamics heat is treated as a form of this quantity. Work equals the change in this quantity. Name this conserved quantity that has kinetic and potential forms.",energy
"It is possible that some of this explorer’s possessions were found with Native Americans by the Portuguese explorer Gaspar Corte-Real [kort ray-ahl]. This person’s last voyage had five ships, one of which was damaged and forced to go to Ireland and the other four of which were never found. The strait north of Cape Breton [BREH-tun] Island is now named for this explorer. This person sailed on the ship Matthew when he left Bristol in 1497 with the support of King Henry VII [7]. Name this explorer who reached Cape Breton Island, Labrador, or Newfoundland [NOO-fund-lund], which means he is probably the first European to reach North America after the Vikings.",John Cabot [or Giovanni Caboto]
"In one novel by this author, the title character swings a boy around for fun, but she loses her grip, causing him to drown. This author portrays the lack of guilt felt by the title character’s friend Nel Wright for the death of Chicken Little. In another novel, this author describes a statuette that says “At Yo’ Service” and belongs to the Bodwins. The protagonist of that novel tries to attack Mr. Bodwin with an ice pick. In that novel, this author has Stamp Paid explain to Paul D why the community is afraid of Sethe [SETH-uh]. Name this author of Sula and Beloved.",Toni Morrison [or Chloe Ardelia Wofford or Chloe Anthony Wofford Morrison]
"A cloud named for this process, which is sometimes called a Wilson cloud, can briefly form rings around a mushroom cloud during a massive explosion in places where the air is spread out. Traps named for this process are sometimes used to prevent bathroom fans from causing damage to ducts. Cloud seeds, which are often just dust, act as nuclei for this process. The process of deposition can be informally understood as a combination of this process and freezing. This process is the reverse of vaporization. This process occurs when water forms on a cold glass. Name this phase change from gas to liquid.",condensation [or condensing; accept condenses]
"In a work by this writer, the centaur Chiron [KY-rahn] threatens the protagonists with an arrow when he sees that they cause rocks to move, but Chiron then provides Nessus to help them. That occurs near a river of blood. Later in the same work by this writer, the protagonists get a ride from Geryon [GAIR-ee-ahn] to the Circle of Fraud, and they eventually reach a region named for Judas Iscariot. This writer described a gate containing the words “Abandon all hope, you who enter here.” This author portrayed himself being guided through Paradise by Beatrice. Name this Italian writer from the Middle Ages who wrote the Divine Comedy.",Dante Alighieri [DAHN-tay ah-leeg-ee-“AIR”-ee] [accept either underlined name; or Durante degli Alighieri]
"Some species of the Halomonas genus of this type of organism can consume rust. A common way to classify these organisms into two categories uses Lugol’s iodine to determine the thickness of their peptidoglycan [PEP-tid-oh-GLY-kan] layer. A large proportion of the monera [moh-NER-uh] kingdom consists of these organisms, and under Carl Woese’s [WOHZ’z] system, these organisms are a domain alongside Archaea [ar-KEE-uh] and Eukarya [yoo-KAR-ee-uh]. Round examples of these organisms are called cocci [“COCK-see”], while rod-shaped examples are bacilli [buh-SILL-“eye”]. Name these single-celled prokaryotes [“pro-CARRY-oats”] that are responsible for diseases which can be treated with antibiotics.",bacteria [or bacterium; accept eubacteria; prompt on prokaryotes before “iodine”]
"Before this person was well known, he ordered an aggressive attack against Italian forces at the Battle of Tobruk [TOH-bruk]. This person stopped Greek forces at the Battle of the Sakarya [suh-KAR-yuh]. As a politician, this person started the Republican People’s Party, which included Republicanism, Populism, Nationalism, and Laicism [LAY-uh-sizm] as four of its “Six Arrows”, which played a role in westernizing this person’s country. This person changed his country’s alphabet from being based on Ottoman to being based on Latin. Name this person who from 1923 to 1938 served as the first president of Turkey.",Mustafa Kemal Atatürk [moo-STAH-fuh kay-MAHL AT-uh-turk] [accept either underlined name]
"This newspaper employs the first woman to win both the Reuben Award and the Pulitzer Prize for Editorial Cartooning, Ann Telnaes [TELL-neez]. Megan McArdle and Kathleen Parker currently work for this newspaper. This newspaper was published by Katharine Graham from 1963 to 1991, and in 2013 the Graham family sold it to Nash Holdings, which is controlled by Jeff Bezos [BAY-zohss]. This newspaper employed Carl Bernstein [BURN-steen] and Bob Woodward when they investigated Watergate. Name this newspaper that is headquartered in our nation’s capital.",The Washington Post
"According to some accounts of this battle, Salem Poor shot James Abercrombie when he yelled “Surrender, you rebels.” One consequence of this battle is that three months later William Howe was given a command that had previously been held by Thomas Gage. This battle was fought on June 17, 1775. By the end of this battle, the British controlled Charlestown Peninsula in Boston, but this battle discouraged further British attacks because of the large number of British casualties. Name this battle at which William Prescott gave the legendary command “Don’t fire until you see the whites of their eyes.”",Battle of Bunker Hill [accept Battle of Breed’s Hill]
