Question,Answer
"Terry Hunt and Carl Lipo moved these things in ropes as part of an experiment. One of these things nicknamed ""stolen friend"" is on display at the British Museum. These things can include pukao (poo-KOW) and sometimes have petroglyphs referencing aspects of the (*) ""birdman"" cult. Following the arrival of Jacob Roggeveen (YAH-kohb ROH-gev-en) and the subsequent spread of disease, these objects were no longer constructed at Rano Raraku (RAH-noh rah-RAH-koo) and were toppled one by one by the Rapa Nui (RAH-pah NOO-ee). For 10 points, name these stone monuments depicting giant heads on Easter Island.","moai [or Easter Island statues until ""Easter Island"" is read; or Easter Island heads until ""Easter Island"" is read]"
"This value appears in the denominator of Cohen’s d, which calculates effect size. Bill Smith developed a methodology to keep defects under 3.4 per million, named for six times a symbol for this value. This value is divided by the square root of N to give the SEM, and four times this value gives the width of the most commonly used confidence interval. The (*) z-score is normalized by this value. In a normal distribution, 68 percent of the data is within this value of the mean. This value squared gives the variance. For 10 points, what value is symbolized lowercase sigma, and is a measure of variation in a data set?",standard deviation [accept pooled standard deviation or population standard deviation or sample standard deviation; prompt on SD; prompt on sigma or six sigma until “sigma” is read]
"A city in this state houses the home of Juliette Gordon Low, who founded the Girl Scouts in this state. An annual onion festival occurs in this state's city of Vidalia. Bonaventure Cemetery and Forsyth Park are historic sites in a city in this state whose baseball team, the (*) Bananas, uses unique rules. This state's capital includes the High Museum of Art and Centennial Olympic Park, which was created for the 1996 Olympics. For 10 points, name this state whose cities include Savannah and Atlanta.",Georgia
"Glenn Miller recorded a big band song about these things that opens with a dialog with a shoeshine boy in Tennessee. One of these things is ""a-thrumming"" in a jazz standard that depicts ""Sugar Hill way up in Harlem."" James Brown recorded a Jimmy Forest song depicting a (*) journey on a ""Night"" one of these things. Billy Strayhorn wrote the lyrics to a jazz standard about one of these vehicles that ""takes the A"" route. The Duke Ellington orchestra performed a song about, for 10 points, what vehicles depicted in ""Chattanooga Choo Choo""?","trains [or ""Take the A-Train""; or ""Night Train""]"
"A nonclassical Newton's Law of this quantity relates shear stress to this quantity times a velocity gradient. This value multiplies 8 L Q in the numerator of Poiseuille’s Law and multiplies six pi r v in Stokes’ Law. This value decreases when a thixotropic (THIK-soh-TRAH-pik) substance is shaken. The SI unit of this quantity is the pascal-second. This quantity drops to zero below the lambda (*) point for superfluids. The internal friction of a fluid is quantified by this property, which is high for honey. For 10 points, name this measure of a fluid's resistance to flow.",viscosity [accept dynamic viscosity or kinematic viscosity; prompt on mu or eta]
"This poet entreats ""Cease, gentle muse!"" in a poem addressed to painter ""S.M.A."" This poet commands ""Muse! Bow propitious while my pen relates"" how an army ""In bright array they seek the work of war."" This poet tells a (*) President to ""Proceed, great chief, with virtue on thy side."" In another poem, this poet claims, ""Twas mercy brought me from my Pagan land."" For 10 points, name this African-American poet of ""His Excellency, General Washington"" and ""On Being Brought from Africa to America.""",Phillis Wheatley
"A 2022 mayoral candidate for this city had earlier advocated a ban on raves during his tenure on a stadium commission. Nury Martinez, the president of this city's Council, resigned after an (*) audio leaked of him making racist statements about the adopted Black son of Mike Bonin. In December of 2022, this city's councilman Kevin de Leon fought a protester. In 2022, Rick Caruso was defeated by the first Black woman to become mayor of this city, Karen Bass. For 10 points, name this California city, the second most populous in the United States.",Los Angeles [or L.A.]
"A poem in this language repeats ""You pretend I'm dawn"" and ""You pretend I'm chaste"" and is titled ""You Want Me White"" by Alfonsina Storni. Another author used this language for a poem that notes, ""from the frozen niche in which men put you."" Sonnets of Death are in this language, as is as a poem that repeats (*) ""It is the hour of departure"" and ""in you everything sank!"" The line ""tonight, I can write the saddest lines"" was written in, for 10 points, what language of Gabriel Mistral and Twenty Love Poems and a Song of Despair author Pablo Neruda?",Spanish [or Español]
"A song by this person, whose music video is set at Gill's Lounge, asks ""if the stars were edible and our hearts were never full, could we live with just a taste?"" This person runs on a rotating platform in the video to a song whose lyrics (*) ""leave America, two kids follow her"" may be a reference to Olivia Wilde. That song by this Englishman features the chorus ""in this world, it's just us, you know it's not the same."" For 10 points, name this former member of One Direction whose songs include ""Music for a Sushi Restaurant"" and ""As It Was.""",Harry Styles [Harry Edward Styles]
"During an evacuation in this war, one side killed 1,000 of their own citizens by prematurely blowing up the Hangang (HON-gong) Bridge. William F. Dean, who wrote a memoir about his imprisonment during this war, had earlier suppressed the Jeju (tay-JOO) Uprising. Matthew (*) Ridgeway replaced a general in this war who had turned the tide by landing an army behind enemy lines at Incheon. American advances in this war were reversed when Chinese troops crossed the Yalu River. For 10 points, name this war that started after Kim Il-Sung crossed the 38th Parallel.",Korean War
