Question,Answer
"A character in this text defends an argument that children shouldn't know their parents by likening the state to a ship. A character in this text argues that justice is paying what you owe, and another tells the story of the ring of Gyges (GAI-jeez). This text describes people with souls made of gold, silver, and bronze ruled by (*) philosopher-kings. This text contains a section in which people chained to a wall believe passing shadows to be reality. ""The Allegory of the Cave"" is part of, for 10 points, what Platonic dialogue?",The Republic [or Politeia]
"A piece about an event during this decade has movements titled for the ""Eternity"" and ""Immortality"" of Jesus and includes a clarinet solo in the ""Abyss of the Birds."" Interviews with survivors of an event in this decade are included in a minimalist string quartet that repeats ""New York to Los Angeles,"" composed by Steve Reich. Aaron (*) Copland's brass and percussion work ""Fanfare For the Common Man"" was composed after the U.S. entered a war in this decade. For 10 points, name this decade during which composers wrote music about World War II.",1940s [prompt on 40s]
"Sasha Solomon went viral for publicly confronting this company's leadership. Michael Shellenberger documented a set of ""Files"" named for this company that alleges FBI censorship. This company's former head of trust and safety, Yoel (yo-EL) Roth, was forced to flee his home after resigning in November 2022. This company, which implemented an (*) $8 fee for blue checks, was acquired for $44 billion by a man who fired former CEO Parag Agarwal. For 10 points, name this social media company that was bought by Elon Musk.","Twitter, Inc."
"This monarch's generals included the Scotsman Patrick Gordon, who led his ""toy army"" during his campaign to capture Azov Fortress. An abortive revolt to restore this man's half-sister Sophia to power was led by the streltsy regiments. The Table of (*) Ranks was introduced by this man to create merit-based appointments following his Grand Embassy to Western Europe. This man's army defeated the forces of Charles XII (the twelfth) at the Battle of Poltava (pol-TAH-vah). For 10 points, name this modernizing tsar of Russia who built a new capital on the Baltic Sea.",Peter the Great [or Peter I of Russia; or Pyotr I; or Pyotr Velikiy; prompt on Peter]
"In a novel by this author, Europe is ravaged by a mysterious plague resulting in the deaths of nearly everyone but Lionel Verney. This author of The Last Man wrote a novel that competed against Fragment of a Ghost Story and The Vampyre during the summer of 1816. A novel by this author opens with (*) Robert Walton's letters to his sister on an expedition to the North Pole. Henry Clerval joins a character in a novel by this author who creates a ""demoniacal corpse."" For 10 points, name this author who included Victor in Frankenstein.",Mary Shelley [Mary Wollstonecraft Shelley; or Mary Wollstonecraft Godwin]
"While playing for this team, Rafael Palmeiro (pahl-MAIR-oh) tested positive for steroids. In 2007, this team's 3-0 lead after three innings ended in a 30-3 loss to the Rangers. Zach Britton did not pitch in a game in which this team was eliminated from the 2016 playoffs by the Blue Jays. A player for this AL team broke (*) Lou Gehrig's consecutive game streak in 1995. After a 47-win season, this team used the first overall pick to draft Adley Rutschman. For 10 points, Cal Ripken, Jr. played for what baseball team at Camden Yards in Baltimore?",Baltimore Orioles [or Baltimore before it is read]
"One side in this war diverted resources to fight Tipu Sultan during a contemporaneous Indian conflict. During this war, William Eden organized the Carlisle Peace Commission, which was rejected by the Marquess of Rockingham. A document from this war blames a king for ""transporting us beyond (*) Seas to be tried for pretended offences."" Lord North, who was in office during this conflict, rejected the Olive Branch Petition and called for an end to ""taxation without representation."" For 10 points, name this war that ended at the Battle of Yorktown.",War of the American Revolution [or Revolutionary War]
"A symbiosis in which Klebsiella pneumoniae (KLEB-see-ELL-ah noo-MOH-nee-ai) provides this element to members of the Triticum genus is used to increase crop yield. A FeMoco cofactor is used by diazotrophs (dai-AYZ-uh-trohfs) when converting this element into a usable form. This element is bonded to multiple groups in amines, and it is triple-bonded to carbon in (*) cyanide. This element’s diatomic form is held together by a triple bond. For 10 points, name this element whose ""fixation"" occurs in many plant roots, which makes up the majority of the Earth's atmosphere and has atomic symbol N.",nitrogen
"This author listed aesthetic enthusiasm and sheer egoism as ""great motives for writing."" This author of ""Why I Write"" described how prose-construction is dodged by meaningless words in ""Politics and the English Language."" This author's time as a colonial police officer in (*) Burma inspired his essay ""Shooting an Elephant."" The slogan ""freedom is slavery"" appears in a novel by this man in which ""do it to Julia"" is shouted in Room 101 to avoid torture with rats. For 10 points, name this British author who depicted Big Brother in his novel 1984.",George Orwell [or Eric Arthur Blair]
"The protein lubricin (LOOB-ritch-in) protects the surface of this tissue, which contains aggrecan (AG-ruh-kan) bound to hyaluronan (hai-AL-yur-uh-nin). Collagen II localizes to this tissue. Inflammation of this tissue can cause chest pain in costochondritis (KOST-oh-kon-DRAI- tis). Chondrocytes (KAHN-druh-sites) produce this tissue, which is degraded in (*) osteoarthritis. Stingrays and sharks have skeletons entirely composed of this tissue. The hyaline (HAI-uh-lin) variety of this tissue makes up the trachea (TRAY-kee-uh), and its fibro form is found in the meniscus of the knee. For 10 points, name this flexible connective tissue found in the nose and ears.",cartilage
