Question,Answer
"Institutions of this kind that are considered “global systemically important” are often subjected to special regulations formulated by the Basel Committee. The activities of these institutions were deregulated by the Gramm-Leach-Bliley Act, which repealed a key portion of the earlier (*) Glass- Steagall Act. The largest of these institutions are called the “bulge bracket.” Formerly; consumer-facing, commercial, and investment functions could not be combined in, for 10 points, what financial institutions that take deposits?",banks [or investment banks]
"Phoebus Levene's ideas about this molecule's function did not fall out of favor until radioactive phosphorus and sulfur tags and a centrifugation step were used on this molecule in the Hershey- Chase experiment. Square Bessel functions were used to explain diffraction by this molecule by Maurice (*) Wilkins. “Photo 51” is an x-ray crystallography image of this molecule taken by Raymond Gosling and interpreted by Rosalind Franklin. For 10 points, name this molecule whose double helix structure, modeled by Watson and Crick, carries the genetic code.",DNA [or deoxyribonucleic acid]
"In this state, a woman told a photographer that she sold her car tires and lived on frozen vegetables. Eadweard Muybridge's (Edward MOY-brij's) series Sallie Gardner at a Gallop was made in this state. Florence Owens Thompson is the subject of a photo taken in this state, where the moon appears over a (*) rock face in another photograph. Sites such as Manzanar (MAN-zuh-nar) in this state were photographed by Ansel Adams and Dorothea Lange (LANG), who documented Japanese internment camps. Migrant Mother was taken in, for 10 points, what state, where Moon and Half Dome shows Yosemite (yoh-SEM-it-ee)?",California
"The potential energy of a harmonic oscillator is represented by this kind of function. A function of this type published by Euler (OY-lur) generates a prime for the function's first forty positive integer outputs. One method for solving functions of this type uses one of Vieta's formulas, and another method for solving them is (*) completing the square. A formula named for functions of this type contains the term “square root of b squared minus four ac.” For 10 points, name these degree-two polynomials that take the shape of a parabola.",quadratic equation [or functions of degree two until “degree-two” is read; prompt on polynomials until “polynomials” is read]
"At the start of this decade, a coal-for-food exchange was arranged at the Spa Conference. During this decade, Carl von Ossietzky (KARL von ahs-YET-skee) began to expose the illegal “Black Reichswehr” (RAIS-veer). The occupation of the Ruhr (roar) in this decade was ended by the adoption of the (*) Dawes Plan. In this decade, the Kampfbund (KAMF-bund) staged a failed coup at a beer hall in Munich a year prior to the start of a hyperinflationary period. For 10 points, name this decade in which the Weimar (VAI-mar) Republic repeatedly failed to pay reparations demanded by the prior decade's Treaty of Versailles (vair-SAI).",1920s [prompt on 20s]
"One of these features of Death  covers the provinces of Nimruz (NIM-rooz) and Helmand (HEL- mund). One of these features between the Amu Darya (AA-moo DAAR-yuh) and Syr Darya (SEER DAAR-yuh) is the native habitat of Russian tortoises and is called the Kyzylkum (kuh-ZEEL-koom). A so-called “death worm” is said to live in one of these features. The largest of these features completely within China is west of (*) Lop Nur and includes Kashgar and Urumqi (oo-RUM-chee). The Tian Shan mountains divide one of these features called the Taklamakan (TAHK-lim-uh-KAHN) from another with snow-capped dunes. For 10 points, name these dry features such as the Gobi.",deserts
"The founding of a religious tradition from this region is recorded in the Testament of Ba, in which Samye (SAHM-yay) is begun by Rinpoche (rin-poh-CHAY). The Nyingma (NING-mah) literature of this region includes the Bardo Thodol (BAR-doh thud-AHL). A religious tradition from this region includes a high-ranking (*) “Panchen” (PON-chen) position. A leader of a tradition from this region known as the “Yellow Hat” sect, who was born as Tenzin Gyatso (TEN-zin gee-AHT-soh), was exiled and now lives in India. For 10 points, what region's religious literature includes the Buddhist writings of the Dalai Lama?",Tibet [or Bod; or Xizang; do not accept or prompt on “Xinjiang”]
"A commentator with this surname cited “women in combat units” and “homosexual rights” as things he opposed “in a nation we still call God's country.” That person with this name gave the “culture war” speech at the 1992 Republican National Convention. During the last months in office of a President with this surname, Lewis Cass (*) resigned as Secretary of State and the Crittenden Compromise failed. That president with this surname ordered an attempt to reinforce Fort Sumter. For 10 points, give this surname of the president who left office near the start of the Civil War.",Buchanan [or Pat Buchanan; or Patrick Joseph Buchanan; or James Buchanan Jr.]
"The last track of the album Return to Forever is named for this country and was composed by Chick Corea (kuh-REE-uh). A song called “Will o' the Wisp” appears on side one of an album named for this country, whose tracks “The Pan Piper” and “Saeta” (sai-AY-tuh) were written by Gil Evans. Teo Macero (TAY-oh mah-SAY-roh) produced a Miles Davis album titled for (*) Sketches of this country, which includes the second movement of native composer Joaquín Rodrigo's (wah-KEEN rah-DREE-gohz) Concierto de Aranjuez (kahns-YAIR-toh day-rahn-WEZ). Many jazz standards were inspired by the flamenco (flah-MAIN-koh) music of, for 10 points, what European country?",Spain [Kingdom of Spain; or Reino de España]
"The title poem of a collection by this author described “Two who are Mostly Good” for whom “Dinner is a casual affair.” This author ended a poem by saying “Believe me, I knew you, though faintly” in a poem that begins by declaring “Abortions will not let you forget.” This author of the collection The (*) Bean Eaters and the poem “the mother,” described a group that “Left school,” “Sing sin,” and “Thin gin” in a poem about “Seven at the Golden Shovel.” For 10 points, name this poet who wrote about young pool players in “We Real Cool.”",Gwendolyn Brooks
