Question,Answer
"The three-legged crow sometimes called Yangwu (yahng-WOO) inhabits this object. Some instances of this object are the sons of Xihe (SHEE-huh). A goddess of this object tolerates her brother burning her rice fields but retreats away after one of her weaving maidens is killed. The archer Hou-yi (ho-YEE) shoots (*) several examples of this object when they all appear at once, leaving only one. Amaterasu (ah-mah-ter-AH-soo) was the Shinto god of this object and jeopardized the world by hiding it in a cave. For 10 points, Chinese myth believed that a dragon eating what object caused total eclipses?",the sun
"A candidate in this election served at the time as Secretary of the Treasury after Alexander Dallas and ran alongside Nathaniel Macon. Secretary of the Navy Smith Thompson withdrew from this election, in which losing candidate William Crawford carried two states. The House of Representatives selected the (*) winner of this election after Henry Clay was eliminated. Despite winning the popular vote, this election's loser called it a “corrupt bargain.” For 10 points, name this election year in which John Quincy Adams defeated Andrew Jackson.",United States Presidential election of 1824
"An island of this province is separated from the mainland by the Strait of Canso. The tourist spot of Peggy's Cove sits on St. Margarets Bay in this province, which includes Cape Breton Island. Citadel Hill sits in the center of this province's largest city, which contains the (*) Maritime Museum of the Atlantic and was the site of a 1917 ship explosion. This province was once the peninsular part of the French colony of Acadia, whose mainland portion became New Brunswick. For 10 points, name this Canadian province governed from Halifax.",Nova Scotia [or Nouvelle-Écosse]
"This 23-species polyphyletic group includes a species that, in 2021, was discovered to contain two females that reproduced by parthenogenesis (PAR-thuh-no-JEN-uh-sis) despite having access to reproductively capable males. Another species in the group commonly known by this name uses a large olfactory lobe to follow the scent of ethyl mercaptan to find food. The (*) Old World and New World varieties of this bird belong to different families, but both display bald heads due to convergent evolution. For 10 points, give this term for a bird of prey that scavenges on carrion.",vultures
"The launch of this military campaign ended an eight-month period of relative inaction dubbed the “Phony War.” Maxime Weygand's (max-EEM VAY-gah's) planned counterattack failed to stop this campaign. The Second Armistice at Compiègne (kahm-PEN-yeh) was signed just six weeks after the start of this campaign, which took a route through the (*) Ardennes (ARD-en) Forest that bypassed the Maginot (MAA-jin-oh) Line and led to the creation of the Vichy (VEE-shee) government. For 10 points, name this World War II Nazi-led campaign whose outcome forced Charles de Gaulle (SHARL day GOAL) to flee to Britain.",Battle of France [or German invasion of France; or Axis defeat of France in World War II; or Nazi invasion of France until “Nazi” is read]
"The earliest depiction of the dodo bird in color was made by this dynasty s artist Ustad Mansur (OO-stahd mahn-SOOR). The painting Prince with a Falcon depicts a popular hobby of this dynasty in a form used up to 1400 times in some of its manuscripts, miniature painting. Over 410 fountains were included in the Shalimar Gardens during this dynasty, whose architect (*) Ustad Lahauri (OO- stad lah-hah-OR-ee) designed a tomb for Mumtaz (MOOM-tahz). For 10 points, name this dynasty whose emperor Shah Jahan (jah-HAHN) commissioned the Taj Mahal during its rule as the last Muslim dynasty to control most of India.",Mughal dynasty [or Mughals; or Mughal empire]
"This character notes that “only the gods can never age...all else...time obliterates.” This character opens a play by trespassing on ground sacred to the Furies in a town near Athens where Theseus (THEES-ee-us) receives him. Another play titled for this character opens with the use of olive branches to combat a (*) plague. This character sends Creon to the Oracle of Delphi (DEL-fai) to investigate the death of his father, Laius (LAI-us). For 10 points, name this king of Thebes (theebz) who titles a Sophocles (SAH-fuh-kleez) play in which he learns he has killed his father and married his mother.",Oedipus (ED-ip-us) [or Oedipus Rex; or Oedipus at Colonus]
"This present-day country was long the main home of a Gnostic (NAH-stik) group that despises the “lord of darkness” Krun and the demiurge (DEM-ee-urj) Ptahil (pit-AH-hil) and believes John the Baptist was the final prophet. The largest regular gathering in the world is the Arba'een (ARB- ai-EEN) Pilgrimage in this country. (*) Mandaeans (MAN-day-inz) lived in this country, which is home to the most popular shrines to imams visited on Ashura (AA-shoo-RAH), in Karbala (kar-BAH-lah) and Najaf (nah-JAHF). For 10 points, what Arab country is the second most populous majority Shia Muslim country in the world, after neighboring Iran?",Iraq [Republic of Iraq; or Jumhūriīyet al-ʿIrāq]
"The Tanzi effect theorizes that increases in this economic phenomenon will decrease a government's ability to effectively collect tax. This phenomenon is related to two measures of the interest rate by the Fisher effect. When this phenomenon rises, peripheral “shoe leather” and (*) “menu” costs also go up. The Phillips curve connects increases in this phenomenon with decreases in unemployment rates. The consumer price index is used to estimate the rate of this economic phenomenon. For 10 points, name this phenomenon of general price increases.",inflation
"This particle is predicted to have a half-life of at least 1032 (ten to the thirty-second) years, and it may decay into a pion and a positron, though its decay has never been observed. In beta-plus decay this particle decays to a neutron, which results in the emission of an electron neutrino and a positron. (*) By firing alpha particles into nitrogen gas, Ernest Rutherford discovered this particle in 1919. The number of these particles in an atom determines atomic number. For 10 points, name these positively charged particles found in the atom's nucleus.",proton
