Question,Answer
"In a series by this artist, a smoky character extends his hand while St. John literally eats a book. This artist of the Apocalypse series depicted a noseless, lipless character in a scene in which a dog runs between two horses. A pronged staff with a (*) goat's head appears in a painting by him which also portrays a character holding an hourglass on a pale horse. This artist portrayed a woman with wings sitting next to a 4-by-4 magic square. For 10 points, name this German woodcut artist of Melancholia I (one) and Knight, Death, and the Devil.",Albrecht Dürer
"In a novel, a character with this profession named Woodrow Wilson gets married while drunk, as recounted by a ""Time Machine"" between scenes at Anopopei (AN-oh-pah-PAY). A character with this profession throws a pine cone at a squirrel and is cared for by Wilson after abandoning a (*) ""tattered man."" Norman Mailer's The Naked and the Dead describes members of this profession. A man in this profession becomes a flag-bearer after Jim Conklin dies from the title mark of honor. For 10 points, name this profession held by Henry Fleming, who fights in the Civil War.",soldiers [or member of the military; or G.I.]
"A coalition of countries along this body of water fought against the Numancia (noo-mahn-SEE- ah) and other ironclads in the Chincha (CHEEN-chah) Islands War. On May 21, a country celebrates Navy Day to commemorate a battle in which the Esmeralda sank in this body of water. A war named for this body of water included clashes over Tacna and (*) Arica and was partly ended by the Treaty of Ancón (an-KOHN). The Battle of Iquique (ee-KEE-kay) occurred during a war named for this ocean fought over guano and saltpeter deposits. Bolivia lost its coastline along, for 10 points, what ocean during a namesake war?",Pacific Ocean [or War of the Pacific]
"This man's arm is crossed with that of Jesus beneath the Tau cross in the coat of arms of the OFM. Ugolino Brunforte likely compiled a book that reports this man's taming of the Wolf of Gubbio (goob-YOH). The encyclical (en-SIK-luh-kul) Laudato si' (lao-DAO-toh SEE) takes its title from a song written at San Damiano by this subject of the Fioretti (fee-uh-RET-ee), called the (*) ""Canticle of the Sun."" The Poor Clares are a branch of a monastic order founded by this saint, after whom Jorge Bergoglio (HOR-hay bair-GOHL-yoh) took his papal name. For 10 points, what saint from Assisi lends his name to the first Pope from South America?","Saint Francis of Assisi [or Giovanni di Pietro di Bernardone] [the OFM, or Order of Friars Minor, are also known as the Franciscans]"
"The first of these texts written by an American was authored by Amelia Simmons and introduced the use of pearlash. Irma Rombauer wrote an influential one of these texts that surpassed in sales another book by Fannie Farmer outlining housewife behavior. One of these books titled for ""Mastering the Art of"" its central subject covered the basics of (*) cassoulet (KAA-soo-leh) and bouillabaisse (BOOL-yuh-base) and was co-written by Julia Child. For 10 points, name these texts that include Charles Ranhofer's The Epicurean, which popularized Baked Alaska.",cookbooks [or cookery book; or recipe books]
"It doesn't govern rotation, but this law is slightly modified to produce Euler's (OY-ler's) first law of rigid body behavior. In statics, this law is applied to various points in a physical system to determine whether static equilibrium is achieved. The magnitudes of the vectors of a (*) free-body diagram are usually determined by this law. This law can be expressed using the time derivative of momentum, though its most common formula assumes mass is constant with only a changing velocity. For 10 points, name this law given by the formula ""F equals m a."" (F equals M times A)",Newton's Second Law of Motion
"To prevent Mount Helicon (HEL-ee-kahn) from swelling, this creature created a spring where it struck its foot. A hero finds this creature after being told to sleep in the temple of Athena by Polyeidos (PAH-lee-IDE-us) and awaking with a golden bridle. This creature aids a hero who uses a lead (led)-tipped spear. This creature drops boulders on the Amazons (*) and helps kill the Chimera. A gadfly stung this creature while it was on its way to Mount Olympus, causing it to throw Bellerophon (bel-AIR-uh-fahn) to his death. For 10 points, name this winged horse in Greek myth.",Pegasus
"This person helped launch the experimental mining community of Arthurdale. This person arranged a meeting between Walter White and the President to advocate the Costigan-Wagner anti-lynching bill. This person chaired the committee that drafted the Universal Declaration of (*) Human Rights. This person resigned her membership in the Daughters of the American Revolution after the group refused to let Marian Anderson perform; she then organized a concert at the Lincoln Memorial. For 10 points, name this First Lady who was the wife of FDR.",Eleanor Roosevelt [Anna Eleanor Roosevelt; prompt on Roosevelt]
"The Érard (ay-RAHR) company commissioned this composer to showcase its new pedal harp in his Introduction and Allegro. A ""F E D C-sharp motif"" is repeated in a piece by this composer inspired by the malagueña (mal-aa-GAY-nah) and habanera (ah-bah-NAIR-ah). A C-sharp major ""Ondine"" (AHN-deen) opens a piano suite by this composer that features the difficult (*) ""Scarbo"" movement. This composer of Rapsodie Espagnole (es-PAN-yol) and Gaspard de la Nuit (gas-PAR day la NWEE) included a repeating melody over a two-bar snare drum ostinato (ah-stin- AH-toh) in a C major orchestral piece. For 10 points, name this French composer of Boléro (bow- LAY-roh).",Maurice Ravel [Joseph-Maurice Ravel]
"The rate of this process is measured by the run-on assay. TERRA is created when this process occurs at telomeres. In bacteria, this process can be terminated in rho-independent and rho- dependent pathways and may create polycistronic (PAH-lee-sis-TRAH-nik) products, as in the lac operon. The products of this process may undergo capping, polyadenylation, and (*) splicing in eukaryotes (yoo-KAIR-ee-oats) to remove introns. This process is initiated by namesake factors, which bind promoters and recruit RNA polymerase (puh-LIM-er-ayz). For 10 points, name this process of synthesizing RNA from a DNA template.",transcription [prompt on RNA synthesis or similar answers]
