Question,Answer
"A small genus [JEE-nus] of rheas [REE-uhz] was named after this person after he realized he was eating one rather than a young rhea. This scientist was criticized by Antoinette Blackwell both before and after he wrote “Thus man has ultimately become superior to woman.” That statement was made in a book by this writer which also stated that all races of humans belong to the same species and which made several mentions of Alfred Russel Wallace. That book by this person was The Descent of Man. Name this scientist who famously traveled on the HMS Beagle and who wrote On the Origin of Species, which described his theory of evolution.",Charles (Robert) Darwin
"There was international coverage when this person traveled to Anchorage, Alaska in 1971 to meet with President Richard Nixon, and he followed that by meeting with leaders in Europe. An attempt to either increase this leader’s power or replace him was made during the February 26 Incident, during which this leader did not accept resignations from government oﬀicials. This leader’s Humanity Declaration, stating that he was not divine, was released on January 1, 1946. This leader was succeeded by his son, Akihito, and he was the grandson of the Meiji Emperor. Name this emperor of Japan during World War II whose reign lasted from 1926 to 1989.",(Michinomiya) Hirohito [or the Showa emperor]
"One of the best known participants in this sport was Conchita Cintrón [kohn-CHEE-tah seen-TROHN], who was arrested in 1949 for performing this sport in a way that only men were allowed to do. In modern times, activists claim that the European Union common agricultural policy subsidizes this sport despite claims made by the European Union. In a novel, Romero performs in this sport after being beaten up by Robert after both men are interested in Lady Brett Ashley. That novel, The Sun Also Rises, is one of several novels by Ernest Hemingway featuring this sport. Name this sport performed by matadors or toreros against large animals.",bullfighting [accept toreo before “torero”]
"At the end of one story by this writer, Jupiter says “You have what you asked for, so you have only yourselves to blame for your misfortunes.” Jupiter says those words in a story by this writer after sending a log and then a crane to be the king of the frogs. Another story by this writer is considered the source of the expression “sour grapes” and is about a fox who repeatedly jumps in an attempt to eat some grapes. Another story by this writer is sometimes ended with the phrase “perseverance wins” or the Biblical phrase “The race is not to the swift”, though that moral probably was written after this writer lived. Name this ancient Greek writer of “The Tortoise and the Hare” and many other fables.",Aesop [EE-sahp] [or Aesopos]
"This artist wrote on the back of one painting “Not the least hope remains to me.” In that work, an easel is used to hold up disgusting food which has a tube connecting it to a person’s mouth. This artist painted Without Hope and a work showing a bird lying upside-down on a small tree, a building coming out of a volcano, and two feet at the end of a bath. Another painting by this artist includes the body of a deer with nine arrows stuck in it, and the face of the deer is actually this artist’s face. Name this Mexican painter of What the Water Gave Me whose many self-portraits include The Wounded Deer.",(Magdalena) Frida Kahlo (y Calderón)
"The subject of one poem by this writer is “on the skirts of Bagley Wood” and “waiting for the spark from heaven to fall”. That was one of the two poems by this writer quoted in the Ralph [rayf] Vaughan Williams work An Oxford Elegy. Another poem by this writer describes the “grating roar of pebbles” which “begin, and cease, and then again begin.” In that poem, this person wrote that the world “Hath really neither joy, nor love, nor light, nor certitude, nor peace, nor help for pain”. This poet ended that poem “Where ignorant armies clash by night.” Name this poet who wrote “The Scholar-Gipsy” and “Dover Beach”.",Matthew Arnold
"The cold-water versions of these features, such as the one near Green River, Utah, are caused by carbon dioxide. The layers that form near these features and are named for them are sometimes called siliceous [suh-LISH-uss] sinter. Most of these features are in the United States or on the Kamchatka Peninsula. These features differ from hot springs because these objects have eruptions that last for a few seconds to a few minutes. Name these geologic features, many of which are in Yellowstone National Park, including Old Faithful.",geysers [prompt on hot springs before “hot”]
"A company in this novel uses the slogan “If It’s Optic White, It’s the Right White.” In this novel, that slogan is used at Lucius Brockway’s employer, Liberty Paints. After being injured at the paint factory, this novel’s protagonist asks whether the hospital director knows Mr. Norton or Dr. Bledsoe, which is a reference to the college the narrator got kicked out of. The narrator of this novel received a scholarship to that college after trying to pick up coins from an electrified rug and participating in a battle royal. Name this novel addressing African-American identity and written by Ralph Ellison.",Invisible Man [do not accept “The Invisible Man”]
"This compound reacts with acetic [uh-SEE-tik] acid to form sodium acetate [ASS-ih-tayt], water, and carbon dioxide. Though the American Dental Association does not approve, some people use this compound in water to brush their teeth, which whitens them. Because of a marketing campaign by Arm & Hammer, it is common to put an open box of this compound in refrigerators. Name this compound of sodium, hydrogen, carbon, and oxygen that releases carbon dioxide when exposed to an acid, which is why it is commonly used as a leavening agent.",baking soda or sodium bicarbonate or sodium hydrogen carbonate [or Na H C O3; accept bicarbonate of soda; do not accept “baking powder”]
"This person was sworn in as Chief of Staff of the U.S. Army on the same day that Germany invaded Poland to start World War II. In that position, this person heavily promoted Dwight Eisenhower—who eventually succeeded him—and Operation Overlord. After the war ended, this person tried to prevent a civil war in China and then successfully organized a plan to stop communists in Greece and Turkey, which was the basis of the Truman Doctrine. This person was eventually given a Nobel Peace Prize for his work as secretary of state, especially for giving economic aid to recovering countries. Name this person known for the European Recovery Program.",George C(atlett) Marshall (Jr.)
