Question,Answer
"The Steiner inellipse [“in-ellipse”] is sometimes named for these things because it is defined by its relationship to these things. On a quadrilateral, joining these things creates a Varignon [vah-reen-yawn] parallelogram. Two chords of a circle are drawn through one of these things on another chord in the butterfly theorem, whose conclusion is about one of these things. The median of a triangle, unlike other cevians [CHAY-vee-unz], connects a vertex to one of these points. A formula named for this point finds the averages of both the x-coordinates and y-coordinates of two points. Name this point that is halfway between the two ends of a line segment.",midpoint(s)
"This person chaired the Pageantry Committee during the Squaw Valley 1960 Winter Olympics. To assist the U.S. war effort during World War II, this person produced a film whose name was originally In Nutzy Land, but it was changed to Der Fuehrer’s Face. This person’s death in 1966 delayed the creation of the Experimental Prototype Community of Tomorrow. This person oversaw several displays at the 1964 New York World’s Fair that used Audio-Animatronics. This person put one of his major projects in Anaheim, California and another in Lake Buena Vista, Florida. Name this person whose company created many animated characters, including Mickey Mouse.",Walt(er Elias) Disney
"An adduct of this molecule is more likely in the presence of the protein p53. Parts of this molecule can be identified by a Southern blot. When it is formed, this molecule has a replication fork on which the lagging strand gets Okazaki fragments. Thymine [“THIGH-mean”] is one of this molecule’s four bases. Raymond Gosling was a student under Rosalind Franklin when he took an X-ray diffraction image of this molecule, which was used to develop an understanding of its structure that earned a Nobel Prize for Maurice Wilkins, Francis Crick, and James Watson. Name this double-stranded molecule in chromosomes that contains genetic information.",DNA [or deoxyribonucleic acid]
"In this novel, a group of six men is told “If any man ill-treats you we shall come to your rescue, but we will not allow you to ill-treat others.” That statement is made after the six men are handcuffed, and the men do not eat for days afterwards. Those six men in this novel are told to pay a fine of 250 bags of cowries because a church was destroyed. The protagonist of this novel is disappointed because he wants his village to fight against missionaries. Name this novel set mostly in Umuofia [oo-MOH-fee-uh] in Nigeria that is about Okonkwo [oe-KON-kwoe] and was written by Chinua Achebe [uh-CHEH-bay].",Things Fall Apart
"This ruler appointed Nicholas Throckmorton as the ambassador to France but later ordered the execution of Nicholas’s nephew, Francis Throckmorton. Another ambassador to France under this leader was the so-called “spymaster” Francis Wallingham. This leader was the last monarch from the House of Tudor, leading to the House of Stuart under James I. This leader gave the Speech to the Troops at Tilbury shortly before a very successful defense was made by Charles Howard and Francis Drake against the Spanish Armada. Name this monarch who succeeded “Bloody Mary”, her half-sister.",Elizabeth I [prompt on Elizabeth or the Virgin Queen or Bess]
"If the cosmic microwave background fits a perfect thermal curve, as appears to be the case, then these things do not decay into smaller particles. These things decay into an electron and a positron in a common example of pair production. Along with gluons [“GLUE”-ahnz], W bosons [BOH-zahnz], and Z bosons, these things are gauge bosons. These things are created when electrons drop to a lower energy state. These things are the discrete wave-packets hypothesized by Albert Einstein in his explanation of the photoelectric effect. These things are the force carrier for the electromagnetic force. Name these quanta of light.",photons
"This composer’s aria “Nature immense, impénétrable et fière [em-pen-uh-trahb-luh ay fyer]” is performed after “D’amour l’ardente flamme”, which is sung by Marguerite. This composer ended that opera with Marguerite going to heaven and the man she loved going to hell. A symphony by this composer was written for Niccolò Paganini to perform on viola, but Paganini did not like it. That piece by this composer includes “March of the Pilgrims” and was based on a poem by Lord Byron. Movements in another work by this composer include “Scene in the Fields” and “March to the Scaffold”. Name this French composer of The Damnation of Faust, Harold in Italy, and Symphonie fantastique.",(Louis-)Hector Berlioz
"James Stevens collected many stories about this character that also mention the accountant Johnny Inkslinger, whose pen was connected by a hose to a bottle of ink. When another character dropped a lot of peas, this character prevented the food from being lost by making pea soup. This person’s cook skated along the top of a stove by strapping hams to his feet. This character was credited for creating the Puget [PYOO-jet] Sound by digging [pause] and for creating the Grand Canyon by dragging his axe. Name this giant lumberjack in American folklore who was accompanied by Babe the Blue Ox.",Paul Bunyan [accept either]
"A short poem by this writer ends with the wish “May God provide another who will love you.” That poem by this author begins “I loved you; and perhaps I love you still.” A patriotic poem by this writer begins with the question “Why rave ye, babblers, ye lords of popular wonder?”. In another poem by this writer, a man loses his mind when Parasha’s [PAH-ruh-shah’z] home is destroyed by a flood. This writer wrote that poem about Yevgeny. Most of that poem by this author praises the city of Saint Petersburg, and it includes a statue coming to life. Name this poet who wrote “To the Slanderers of Russia” and The Bronze Horseman.","Alexander Pushkin (The first poem mentioned is “I Loved You”, or “Ya vas lyubíl”.)"
"After working as a Chester Bowles Asian Fellow in India, this person disrupted World Youth Festivals while working indirectly for the CIA. This person then wrote “A Bunny’s Tale”, which was a magazine article about working for Playboy. Another prominent article by this person was “After Black Power, Women’s Liberation”. This person said of one of her successful ventures, “I realized as a journalist that there really was nothing for women to read that was controlled by women.” That venture by this person was initially a one-off insert in New York magazine. Name this feminist who started Ms. magazine.",Gloria (Marie) Steinem
"This disease is treated with isoniazid [“eye”-soh-NY-uh-zid]. Like leprosy, this disease can be prevented by the Bacillus [buh-SILL-uss] Calmette–Guérin [gay-ran] vaccine and is caused by mycobacteria. Before the COVID epidemic, this disease was responsible for more deaths internationally than any other infectious disease. The Mantoux [man-too] test for this disease puts proteins into some skin on the patient’s arm and then sees whether the body responds within three days. This communicable disease can be seen as nodules and cavities on lung X-rays, and it causes coughing with bloody mucus. Name this disease that used to be called consumption.",tuberculosis [accept TB; prompt on consumption before it is mentioned]
