Question,Answer
"This composer replaced the third movement minuet of his first symphony with a scherzo [SKAIRT-soh] that was part of the String Octet in E-flat major this composer wrote when he was 16. This composer’s overture starting with two eighth notes, two 16th notes, and two quarter notes was inspired by Fingal’s Cave. That overture, The Hebrides [HEH-bruh-dees], was inspired by the same trip that inspired this composer’s Scottish symphony. Another work by this composer is often combined with a piece from Richard Wagner’s [REEK-hart VAHG-nur’z] Lohengrin [LOH-en-grin]. Name this composer whose “Wedding March” is taken from his incidental music for A Midsummer Night’s Dream.",(Jakob) Felix Mendelssohn (Bartholdy)
"One novel by this author both begins and ends with the protagonist talking to Deslauriers [deh-lor-ee-ay]. In that novel, this author’s protagonist is fascinated by Marie Arnoux [ar-noh], whose husband Jacques has several affairs and financial and health problems. In another novel by this writer, Héloïse Dubuc [eh-loh-eez doo-book] dies, leading her husband Charles to find a new wife, and the pharmacist Homais [oh-may] undermines Charles’s medical practice. The new couple have the daughter Berthe [bair-tuh], but this author then portrays the wife having affairs with Léon Dupuis [doo-pwee] and Rodolphe Boulanger [boo-lahn-zhay]. Name this French author of Sentimental Education and Madame Bovary.",Gustave Flaubert [floh-bair]
"Kate Sheppard organized a petition effort in this country that led to the Electoral Act of 1893, which made this country the first to have universal suffrage. Indigenous people in this country refer to white people as “pakeha” [PAH-kuh-hah]. Many land disputes in this country can be traced back to an 1840 treaty drafted by William Hobson. That treaty, signed shortly after the end of this country’s Musket Wars, is the Treaty of Waitangi [“why”-TANG-ee]. More recently, this country was noteworthy for its low number of COVID-19 cases before February 2022 under Prime Minister Jacinda Ardern [juh-SIN-duh ar-DURN]. Name this country whose native people are the Maori [may-OR-ee] and whose capital is Wellington.",New Zealand [accept Aotearoa]
"This type of transformation is represented by a 2-by-2 matrix in which the first and last numbers are equal to each other, the other two numbers are opposites, and the top two numbers have squares that add to one. These transformations are used to remove xy terms from equations of conic sections. The cylindrical shell method is used to find volumes of objects generated by this type of transformation on a plane curve. Isometries [“eye”-SAH-muh-treez] allow for translations, reflections, and these transformations. Name these transformations that are typically done around a point or axis.",rotations or rotating [accept rotated; prompt on revolution or revolving or revolved]
"The two most common variants of this substance differ based on whether a molecule has five or six oxygen atoms and whether it has 72 or 70 hydrogen atoms. This substance sometimes masks the color of beta-carotene, but phycoerythrin [FY-koh-AIR-ith-rin] sometimes masks the color of this substance. When this substance is struck by a photon, it releases an electron to an electron transport chain that takes place in a thylakoid [THY-luh-koyd] membrane. This substance regains an electron from water, which allows the light-dependent reaction in photosynthesis to continue. Name this pigment that makes plants green.",chlorophyll [KLOR-oh-fill]
"The most destructive pest to this crop is Heterodera glycines [heh-tuh-RAH-duh-ruh gly-SEE-niss], and the scientific name of this crop is Glycine max. In Indonesia, tempeh [TEM-peh] is made by fermenting this crop, and in Japan this crop is the main ingredient in miso [MEE-soh]. In many countries this crop is used to make edamame [eh-duh-MAH-may]. Though this crop originated in Asia, the two biggest producers now are the United States and Brazil, and the overwhelming majority of U.S. oilseed production comes from this crop. Name this crop that is commonly used to make meat substitutes like tofu.",soybeans [or soya beans]
"Two brothers of John the Fearless died at this battle, which took place a few years before John was assassinated. Edward, 2nd Duke of York and Charles d’Albret [dal-bray] also died while leading troops at this battle. This battle is a major reason for the Treaty of Troyes [twah] signed five years later, in which Isabeau [ee-zah-boo] of Bavaria and Charles VI [6] disinherited their son Charles VII [7]. The victors at this battle had recently succeeded during the siege of Harfleur [har-floor], and they were led by King Henry V. Name this English victory that took place almost 70 years after the Battle of Crécy [kreh-see] during the Hundred Years’ War.",Battle of Agincourt [ah-zhin-koor]
"When a man in this play is asked whether his “tardy master” is “now at hand”, he replies “Nay, he’s at two hands with me, and that my two ears can witness.” In this play, that question is asked by a woman who had been arguing with her sister Luciana about whether a woman should serve her husband. That woman, Adriana, eventually uses the conjurer Doctor Pinch. The man who answers her question is one of two slaves in this play named Dromio. Name this play by William Shakespeare that revolves around the confusion between the two slave masters, who are twin brothers each named Antipholus [an-TIFF-uh-luss].",The Comedy of Errors
"The graph named for this person uses the reciprocal of absolute temperature on the x-axis and the log of the rate constant on the y-axis. That graph is supposed to show a line according to the equation named for this person, which usually expresses the rate constant in terms of a function that has activation energy in the exponent. In 1896, this scientist published calculations showing that increases in carbon dioxide could warm the atmosphere. This person defined acids and bases based on whether they increase the concentration of hydrogen or hydroxide ions. Name this Swedish chemist who won the 1903 Nobel Prize for his electrolytic [eh-LEK-troh-LIT-ik] theory of dissociation.",Svante (August) Arrhenius [SVAHN-teh uh-REE-nee-uss]
"This creature lived in a bottomless body of water called the Alcyonian [al-see-OH-nee-un] Lake. While this creature was alive, humans had to cover their mouth and nose with cloth when approaching that lake because of the fumes. The blood of this creature was used to kill Nessus, which is why the Shirt of Nessus was poisonous. This creature was killed with the help of Iolaus [“eye”-oh-LAY-uss], who used fire to cauterize this creature’s necks. This creature was killed as the second labor of Hercules. Name this creature that grew two new heads every time that one of its heads was chopped off.",Lernaean Hydra [or Hydra of Lerna]
