Question,Answer
"On the Pauling scale, calcium’s electronegativity is this number. Racemization [RAY-suh-mah-ZAY-shun] requires this many steps. Silver’s most common oxidation state is this number, which is also the number of hydroxyl groups in phenol. A (*) methyl group contains this many carbon atoms, and halogens need this many additional electrons to reach a full valence octet. For ten points, give this group number of the alkali metals that is also hydrogen’s atomic number.",one (accept plus one or one plus)
"After resigning from his post in the cabinet, this soldier was made second-in-command to his friend Colonel Leonard Wood. In the book The Naval War of 1812, this historiographer advocated for building American naval power, which he did by funding the (*) Great White Fleet. With the First Volunteer Cavalry Regiment, this man became the “Hero of San Juan Hill” before being elected Vice President under McKinley. For ten points, name this member of the Rough Riders, who was the twenty-sixth U.S. president.",Theodore Roosevelt Jr. (accept Teddy Roosevelt; prompt on “Roosevelt” alone)
"This action can be performed by Zen Buddhists using a tsu-ku-bai. In Judaism, the limited “netilat yadayim” form of this action can be performed using a cup, and a mikveh can be used to perform a more complete form of this ritual. This action is performed symbolically through the Christian practice of (*) baptism, and can be performed by Hindus in the Ganges River. For ten points, name this ritual action in which believers purify themselves using water.",washing (accept equivalents like bathing; accept speciﬁc descriptions like cleaning one’s hands or washing one’s face; prompt on less speciﬁc descriptions like “purifying” or “purifying oneself” before “purify” is read)
"This novel’s protagonist is apprenticed to the undertaker, Mr Sowerberry, by the beadle Mr Bumble. In this novel, Rose Maylie and Mr Brownlow collect information from Nancy shortly before she is murdered by (*) Bill Sikes. This novel’s title orphan is recruited to a gang of pickpockets led by Fagin by a boy nicknamed the Artful Dodger. For ten points, name this novel in which a young boy accidentally enters a life of crime when he is kicked out of a workhouse for asking for more gruel.","Oliver Twist; or, the Parish Boy’s Progress"
"On an episode of this show, titled “Judgment Night,” a passenger aboard the Queen of Glasgow discovers he’s actually a U-boat captain being punished for war crimes. William Shatner insists that there’s “some... (*) THING on the wing” in “Nightmare at 20,000 Feet,” an episode that was remade during this show’s 2019 revival, narrated by Jordan Peele. This show’s creator introduced it as “a ﬁfth dimension.” Rod Serling presented, for ten points, what 1960s anthology show known for its science ﬁction and supernatural twists?",The Twilight Zone
"This country carried out Project 596 to become a nuclear power and achieve one step of the “Two Bombs, One Satellite” goal. The Soviet Union asked the United States to stay neutral in a planned nuclear attack on this country, which gradually broke with the Soviets over ideological differences in the application of (*) Leninism. In 1972, this country welcomed Richard Nixon for a diplomatic visit. For ten points, name this communist power that, for much of the twentieth century, was led by Chairman Mao Zedong.",China (accept People’s Republic of China; accept Zhongguo Renmin Gongheguo)
"A “Wankel” [VON-kull] one of these devices uses a Reauleaux triangle rotor. This device’s “Carnot” [kar-NOH] type has perfect efﬁciency. The Otto cycle models a four-stroke example of these devices that once relied on (*) carburetors for proper air mixture. Piston compression causes ignition in the Diesel type of these devices, which may convey rotational motion via crankshaft. For ten points, which device’s “internal combustion” type is found in most cars?","engines (accept motors; accept Wankel engine, Carnot engine, Diesel engine, or internal combustion engine)"
"A poem at the bottom of this expressionist painting describes “Blood and Flaming tongues” that “hovered” as this painting’s central ﬁgure “stayed behind - quaking with Angst” while two friends walked on “above the blue-black / (*) Fjord.” A red sky in this painting may have been inspired by vibrant sunsets caused by the eruption of Krakatoa, and illuminate a harbor in Oslo. For ten points, name this painting by Edvard Munch in which a hairless human raises their hands to their face and opens their mouth wide.",The Scream (accept Der Schrei der Natur or The Scream of Nature; accept Skrik)
"In a story by this author translated by Jean de la Fontaine, one of the title characters promises to repay a loan with interest by August, but is disdainfully told to “dance” since she spent the summer singing. In another story by this author, a title character takes a (*) nap and consequently loses a race against a slower, but more diligent animal. For ten points, “The Ant and the Grasshopper” is attributed to what Greek slave, whose namesake fables include “The Tortoise and the Hare?”",Aesop
"A palace in this country contains the Court of the Myrtles and the Hall of the Abencerrajes, and was built during the Nasrid Dynasty. In this country, an eighteen-spired cathedral combining Gothic and (*) Art Nouveau styles has been under construction since 1882, and was designed by Antoni Gaud´ ı. The Alhambra in Granada is within, for ten points, what European country, where the Sagrada Familia cathedral is being built in Barcelona?",Spain (accept Kingdom of Spain; accept Reino de Espa˜ na)
"This composer adapted a theme from Frederick the Great into The Musical Offering, and composed a set of Variations to help Count Keyser-lingk deal with his insomnia. This composer dedicated a set of concertos to Margrave Christian Ludwig of (*) Brandenburg, and used all twenty-four major and minor keys to write a set of preludes and fugues [fyoogs]. For ten points, name this German Baroque composer whose works for keyboard instruments include the Goldberg Variations and The Well-Tempered Clavier [klah-veer].",Johann Sebastian Bach (accept J.S. Bach)
"Tourism to this historic compound usually includes visits to the towns of Zalesye and Kopachi, a tour of the Red Forest, and an inspection of the New Safe Conﬁnement erected in 2016. This facility contains a corium-lava (*) “elephant’s foot” discovered by “liquidators” in 1986. An arched steel structure at this facility encloses a concrete sarcophagus around reactor number four. For ten points, name this power plant near the town of Pripyat in Ukraine, the site of a massive nuclear disaster.",Chernobyl Nuclear Power Plant (accept ChNPP; accept Vladimir Lenin Nuclear Power Plant)
