Question,Answer
"A painting by an artist from this movement depicts a man on a pillar observing Greek, Egyptian, and Gothic buildings. A painter from this movement showed a civilization that lives on the rim of a massive cup that rises above the ground. The artist of The Architect's Dream and The Titan's Goblet belonged to this school, as did an artist who painted an (*) American Indian killing the title Last of the Buffalo. For 10 points, Albert Bierstadt and Thomas Cole belonged to what school named for a New York river?",Hudson River School
"This man argued in favor of including uncircumcised men at community meals during the ""incident at Antioch."" This man hears a prophecy of famine from Agabus while traveling through Cyprus and Asia Minor with Barnabas. The second half of Acts mostly describes the (*) deeds of this man, without mentioning his own writings, which make claims such as ""there is neither Jew nor Greek."" This person changed his name from Saul after converting on the road to Damascus. For 10 points, name this apostle who wrote Romans and both books of Corinthians.","Paul [or Saul of Tarsus until ""Saul"" is read]"
"In a Richard Linklater film, this actor plays a district attorney who charges Bernie with murder. This actor described the ""three things I need each day"" in an Oscars acceptance speech. A character played by this actor works with Rayon to deal (*) peptide T and other AZT alternatives after he is diagnosed with HIV. In a film, this actor uses gravity to send messages to his daughter Murph after being trapped in a black hole's singularity. For 10 points, name this actor who played Ron Woodroof in Dallas Buyers Club and Cooper in Interstellar.",Matthew McConaughey [Matthew David McConaughey]
"A book titled for this concept notes, ""Man is an animal suspended in webs of significance."" In another book, the Dobu, Zuni, and Kwaikiutl (kwah-KYOO-tul) are analyzed in terms of the Dionysian and Apollonian types of this concept. The ""Deep Play"" of cockfighting is discussed in a book on the (*) ""Interpretation"" of this concept by Clifford Geertz. Ruth Benedict wrote on ""Patterns"" of this concept, such as its ""shame"" and ""guilt"" types, in a book on Japan. For 10 points, name this anthropological concept of the collective beliefs and customs of a society.",culture [or cultures; or The Interpretation of Cultures; or Patterns of Culture]
"This President wrote the textbook Principles of Mining and translated Agricola’s De Re Metallica. Prior to becoming President, this man achieved a national profile for handling relief efforts during the Great Mississippi Flood. As head of the Food Administration during World War (*) I, this future President advocated for ""Wheatless Wednesdays"" and ""Meatless Mondays."" Shantytowns during a period of economic hardship were known as this president's namesake ""villes."" For 10 points, name this President in office at the start of the Great Depression.",Herbert Hoover [Herbert Clark Hoover]
"The curl of the current density equals negative a constant times this quantity per one of the London equations. The curl of the vector potential equals this quantity. Vacuum permeability times number of turns times current gives this quantity for a solenoid. This quantity can be calculated using (*) Ampere's law, and the right-hand rule is used to determine its direction. Iron filings can be used to trace the direction of these fields. For 10 points, name this fields measured in teslas, that flows from north to south poles and makes compasses point north.",magnetic field [or B field or H field]
"The ""Windflower"" theme appears in this composer's B minor violin concerto. Violas introduce a 9/8 theme before the soloist enters on quadruple stops in an E minor concerto by this composer. Beatrice Harrison first recorded a cello concerto by this composer popularized by (*) Jacqueline du Pré. Augustus Jaeger was depicted as a hunter in the ""Nimrod"" movement of a piece by this composer that may be titled after a hidden melody. For 10 points, name this composer of the Enigma Variations and Pomp and Circumstance.",Edward Elgar [Edward William Elgar]
"Co-infection with this pathogen and TB is called the cursed duet. This pathogen enters cells via the co-receptors CXCR4 and CCR5 using glycoprotein (GLAI-koh-pro-teen) gp120.  Co- infection of this pathogen and a herpes virus leads to Kaposi's sarcoma (kuh-POH-see's sar- KOH-muh). Inhibition of the reverse transcriptase (trans-KRIP-tayz) enzyme by medications such as (*) AZT and Truvada can lower the viral load of those infected with this virus. This lentivirus infects helper T cells, leading to decreased immunity. For 10 points, name this retrovirus that causes AIDS.","HIV [or human immunodeficiency virus; prompts on AIDS virus; do not accept or prompt on ""AIDS"" alone]"
"In a play by this author, Becker's rule of ""no drinking"" is broken by Fielding, who works as an unlicensed cab driver. ""That's the way that goes"" are the last words of a play by this man that ends at a funeral with Gabriel unable to play a trumpet. The Hill District is the setting of this man's work (*) Jitney, which is part of a ten-play cycle. In a play by this man, one of the title objects is built by Cory and his father, the garbage collector Troy Maxson. Pittsburgh is a frequent setting of plays by, for 10 points, what Black author of Fences?",August Wilson [or Frederick August Kittel Jr.]
"Hoards of jewelry were discovered at a civilization near this feature at Kunal. The first site near this feature to be genetically tested was at Rakhigarhi (RAH-kee-GAR-hee), which was excavated with Lohari Ragho (lo-HAH-ree RAH-goh). Remains of domesticated chickens were found at Lothal near this river, which was where Mortimer Wheeler excavated the (*) ""Great Bath."" A figurine called ""Dancing Girl"" was unearthed near this river, whose valley contains over 1,400 archaeological sites. For 10 points, name this South Asian river at which archaeologists analyzed Harappa (huh-RAH-pah) and Mohenjo-daro (moh-HEN-joh DAH-roh).",Indus River [or Sindhu River; or Mehran River; or Hydaspes River; or Jhelum River]
