Question,Answer
"In 1948, this country’s presidential candidate Jorge Eliécer Gaitán [HOR-hay eh-lee-AY-sir gy-TAHN] was assassinated, leading to an unstable decade in which hundreds of thousands of people were killed. This country’s Common Alternative Revolutionary Force is the successor organization to a Marxist–Leninist guerrilla group that was part of a conflict in this country that also involved right-wing paramilitaries and the government for many decades. That group, which made money through kidnapping ransoms and cocaine, was this country’s FARC. This South American country used to control what is now Panama. Name this country whose capital is Bogotá.",(Republic of) Colombia [accept (República de) Colombia]
"As a performer on this instrument, Timofei Dokschitzer [DOK-sheet-zur] popularized Alexander Arutiunian’s [ah-roo-CHOO-nee-un’z] concerto [“con-CHAIR-toe”] for it. Other noted performers of that concerto on this instrument are Tine [TEE-nuh] Thing Helseth and Maurice André. The first famous performer on this instrument was Anton Weidinger [VY-ding-ur], for who Joseph Haydn [“HIGH”-dun] wrote his last concerto, in E-flat major. This brass instrument has a shallow, bowl shaped mouthpiece, which is one difference between it and the cornet. Old versions of this instrument are similar to the modern bugle. Name this high brass instrument that now has valves but historically did not.",trumpets
"This author described a narrator who is discouraged from reading books by Musset [moo-say] and encouraged to read books by Bergotte by his friend Bloch. The impressionist painter Elstir introduces this author’s narrator to Albertine, and the narrator admires Elstir’s paintings when visiting the home of the Guermantes [gair-mawnt] family. This author’s narrator has a flood of memories after tasting a crumb of madeleine. This author’s works are generally set in Combray, which is the home of Charles Swann. Name this French author whose works are collected into Remembrance of Things Past, which is now more commonly titled In Search of Lost Time.",(Valentin Louis Georges Eugène) Marcel Proust [proost]
"Most fuel cells work by exposing this element to the anode [“AN-ode”] and then eventually exposing this element to oxygen at the cathode. Toluene [TAHL-yoo-een] is formed by replacing one of these atoms in a benzene molecule with a methyl [MEH-thul] group, which increases the number of these atoms because a methyl group has three atoms of this element. This element is the most abundant element in the universe. This element was used as a lifting gas for airships, but its usage decreased after the Hindenburg disaster. Deuterium [doo-TEER-ee-um] and tritium [TRIT-ee-um] are isotopes [“ICE-oh”-tohpss] of this element. Name this first element on the periodic table.",hydrogen [accept H]
"The dot product of a vector from an orthonormal basis with itself equals this number. This number equals Legendre’s [luh-zhahn-druh’z] constant, which is used in the prime number theorem. The base of a logarithm can equal any positive number except this number. In an identity matrix, all the diagonal entries are this number. This number is the only positive integer that is neither prime nor composite. If an event’s probability equals this number, then the event is certain to occur. This number is the only positive number that equals its own reciprocal. Name this first counting number.",
"This body of water is southwest of the Archipelago [ark-uh-PEL-uh-goh] Sea, which is at the mouth of the Aura River at the city of Turku. The western end of this body of water is at the sea area Kattegat [KAT-uh-kat]. This body of water contains the islands Hiiumaa [HEE-uh-muh] and Gotland [GOHT-lund]. Ventspils and Gdańsk are cities on the coast of this body of water. The island of Saaremaa [SAH-ray-mah] is between this body and the Gulf of Riga [REE-guh]. The Aland [OH-lahnd] Islands separate this body from the Gulf of Bothnia, and Kotlin [KAHT-lin] Island is between this body and the Gulf of Finland. Name this sea that borders Estonia, Latvia and Lithuania.",Baltic Sea
This dynasty established the Canghai [CHAHNG-“hi”] commandery when it controlled part of the Korean peninsula after the reigns of Wen and Jing. This dynasty sent Zhang Qian [CHEE-en] on diplomatic missions that can be considered the opening of the Silk Road. It is common for Chinese people to name the characters in their alphabet after this dynasty. An interregnum from this dynasty was eventually ended when Liu Xiu [lyoo shyoo] gained control from a leader supported by the Red Eyebrows in 25 CE. Name this dynasty that ruled between the Qin [chin] dynasty and the Three Kingdoms.,Han dynasty
"This molecular geometry can occur with an sd2 [“S D two”] hybridization, though it most often occurs with the same hybridization as the tetrahedral shape, which is sp3. This molecular geometry is exhibited in chlorate [KLOR-“ate”] anions [AN-“eye”-ahnz], phosphine [FAHSS-feen], hydronium [“hi”-DROH-nee-um], and ammonia. The difference between this shape and trigonal [TRIG-uh-nul] planar is that this shape is influenced by the existence of a lone pair, which forces this shape to be three-dimensional. Name this molecular shape based on a steric number of 4, with one lone pair and three atoms bonded to the central atom.",trigonal pyramidal geometry [prompt on partial answers]
"At the beginning of a short story by this writer, a lieutenant is asked how much farther and replies “I don’t know. A mile, ten miles, a thousand.” In that story by this author, Sun Domes are destroyed by indigenous people. In a novel by this author, Clarisse McClellan says “I rarely watch the parlor walls or go to races or Fun Parks.” Early in that novel, this author depicts the protagonist’s wife Mildred being saved after taking too many sleeping pills. This author described a Mechanical Hound that helps locate people who own books. Name this author of “The Long Rain”, which was included in The Illustrated Man; and Fahrenheit 451.",Ray (Douglas) Bradbury
"Within these features, raised land is called horst [pause] and sunken land is called graben [GRAH-ben]. These features usually include a hanging wall and foot wall. The Sunda [SOON-duh] megathrust is a particularly long example of this type of feature. Bends in these features create rift valleys. These features are a fracture or set of fractures between two blocks of rock. Some of these features are classified as dip-slip or oblique-slip, but the transform type of these features is an example of the strike-slip type. The movement of these features causes earthquakes. Name these features such as the New Madrid one and the San Andreas one.",(geological) faults [prompt on fracture zones or seismic zones]
"While at trial, this person told the judge “You have trampled under foot every vital principle of our government.” When fined 100 dollars, this person stated “I shall never pay a dollar of your unjust penalty”, and the judge did not enforce the penalty. Soon after that, this person showed up uninvited at the centennial celebration of the Declaration of Independence and took the stage, saying “We ask justice, we ask equality.” This person often worked closely with Elizabeth Cady Stanton, whom she replaced as head of the National American Woman Suffrage Association. Name this woman who was arrested for voting in New York in 1872.",Susan B. Anthony [accept Susan Brownell Anthony]
"A mask of this person is on the back of the head of Rachel Harrison’s Alexander the Great sculpture. A poem by Vachel Lindsay inspired Fred Torrey to depict this person wearing a robe in a sculpture outside the West Virginia State Capitol. A very famous sculpture of this person shows him using sign language to give his initials. That sculpture is in a memorial to this person at the end of a reflecting pool. This person’s head is to the right of the heads of George Washington, Thomas Jefferson, and Theodore Roosevelt on Gutzon Borglum’s Mount Rushmore National Memorial. Name this person whose photograph, taken by Mathew Brady, is on the five-dollar bill.",Abraham Lincoln
"One of these things is named Section 179, and the act of using it is called expensing. A special one of these things exists in the U.S. for people who cannot see better than 20/200 [“twenty, two hundred”] in their better eye or have a field of vision that is 20 degrees or less. Alimony payments that were agreed to in 2019 or later cannot be used in this way. Contributions to Keogh [KEE-oh] plans and Health Savings Accounts are “above-the-line” examples of these things. The itemized type of these things must be listed on Schedule A of Form 1040. Name these things, such as charitable donations, that are subtracted from gross income to calculate taxable income.",deductions [accept sections of the Internal Revenue Code before “this way”]
"The title character of this poem says “Grieve not, O wise one! For each it is better, his friend to avenge than with vehemence wail him.” Those words are spoken in this poem after Aeschere [ASH-uh-ruh] is killed and before a group finds a lair under a bloody lake. While there, the title character of this poem finds a giant sword that melts after being used to cut off the head of a corpse. This poem’s title character uses that sword when Hrunting [RUN-ting] is ineffective. The hero of this poem helps Hrothgar [RAWTH-gar], the king of the Danes. Name this Old English epic poem about the killing of Grendel.",Beowulf
"The two common forms of the Schrödinger [SHRAY-ding-ur] equation are named based on whether they depend on this quantity. Planck’s constant is given in units of energy times units of this quantity. The basic unit of this quantity is an SI [“S-I”] base unit defined by transitions in a cesium atom. Power equals work divided by this quantity. When calculating displacement under constant acceleration from rest, the square of this quantity is multiplied by half the acceleration. The reciprocal of this quantity is frequency. Name this quantity that is measured in seconds.",time
